"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"EC","CL",5.85283018867925,74,"CL:EC",5.648375
"EC","ENEG",6.18296752663329,132,"ENEG:EC",5.648375
"EC","EPH",6.69691823899371,57,"EPH:EC",5.648375
"EC","IP",7.3288646143661,94,"IP:EC",5.648375
"EC","MNN",7.02880503144654,120,"MNN:EC",5.648375
"EC","MT",6.77056603773585,111,"MT:EC",5.648375
"EC","NC",7.30531446540881,92,"NC:EC",5.648375
"EC","NDE",6.92757669105378,92,"NDE:EC",5.648375
"EC","PTEMP",7.28603773584906,67,"PTEMP:EC",5.648375
"EC","PTIME",6.59824278625834,66,"PTIME:EC",5.648375
"EC","PYRID",7.40729559748428,87,"PYRID:EC",5.648375
"EC","PYRRO",6.74317610062893,78,"PYRRO:EC",5.648375
"EC","RAMAN",6.53345911949685,65,"RAMAN:EC",5.648375
"EC","RR",6.11446540880503,74,"RR:EC",5.648375
"EC","ZIF",5.8864112826377,63,"ZIF:EC",5.648375
"ENEG","BET",7.5138679245283,72,"BET:ENEG",3.1345
"ENEG","CL",6.29081761006289,55,"CL:ENEG",3.1345
"ENEG","ENEG",7.21268129893467,115,"ENEG:ENEG",3.1345
"ENEG","EPH",6.53880503144654,45,"EPH:ENEG",3.1345
"ENEG","IP",7.62859980139027,81,"IP:ENEG",3.1345
"ENEG","MNN",7.6211320754717,101,"MNN:ENEG",3.1345
"ENEG","MT",7.22811320754717,86,"MT:ENEG",3.1345
"ENEG","NC",7.58814465408805,70,"NC:ENEG",3.1345
"ENEG","NDE",7.22259658580413,82,"NDE:ENEG",3.1345
"ENEG","PTEMP",7.74867924528302,43,"PTEMP:ENEG",3.1345
"ENEG","PTIME",6.96627793053317,40,"PTIME:ENEG",3.1345
"ENEG","PYRID",7.75012578616352,65,"PYRID:ENEG",3.1345
"ENEG","PYRRO",6.96022012578616,64,"PYRRO:ENEG",3.1345
"ENEG","RAMAN",6.68169811320755,46,"RAMAN:ENEG",3.1345
"ENEG","RR",6.84729559748428,53,"RR:ENEG",3.1345
"ENEG","ZIF",6.33523918429579,45,"ZIF:ENEG",3.1345
"EPH","BET",5.31918238993711,109,"BET:EPH",3.955
"EPH","CL",5.00905660377358,85,"CL:EPH",3.955
"EPH","ENEG",4.49518675394686,139,"ENEG:EPH",3.955
"EPH","EPH",6.18770440251572,60,"EPH:EPH",3.955
"EPH","IP",5.5569347898047,104,"IP:EPH",3.955
"EPH","MNN",5.14641509433962,135,"MNN:EPH",3.955
"EPH","MT",4.97918238993711,128,"MT:EPH",3.955
"EPH","NC",5.38216981132075,120,"NC:EPH",3.955
"EPH","NDE",5.69910794506482,100,"NDE:EPH",3.955
"EPH","PTEMP",6.06672955974843,90,"PTEMP:EPH",3.955
"EPH","PTIME",5.76087987105338,75,"PTIME:EPH",3.955
"EPH","PYRID",5.51842767295598,113,"PYRID:EPH",3.955
"EPH","PYRRO",5.13188679245283,101,"PYRRO:EPH",3.955
"EPH","RAMAN",5.28345911949685,90,"RAMAN:EPH",3.955
"EPH","RR",5.37660377358491,85,"RR:EPH",3.955
"EPH","ZIF",5.13880947843212,73,"ZIF:EPH",3.955
"IP","BET",7.43839622641509,72,"BET:IP",4.78625
"IP","CL",6.31270440251572,47,"CL:IP",4.78625
"IP","ENEG",7.10775253497625,120,"ENEG:IP",4.78625
"IP","EPH",6.83786163522013,35,"EPH:IP",4.78625
"IP","IP",7.35931810658722,88,"IP:IP",4.78625
"IP","MNN",7.83911949685535,98,"MNN:IP",4.78625
"IP","MT",7.90106918238994,86,"MT:IP",4.78625
"IP","NC",8.34905660377358,59,"NC:IP",4.78625
"IP","NDE",6.62957258375048,83,"NDE:IP",4.78625
"IP","PTEMP",7.44050314465409,43,"PTEMP:IP",4.78625
"IP","PTIME",6.98214342151007,35,"PTIME:IP",4.78625
"IP","PYRID",7.81044025157233,67,"PYRID:IP",4.78625
