iter	MultiClass
149	2.049104969e-07
150	2.016490571e-07
151	1.956280675e-07
152	1.897960404e-07
153	1.84397298e-07
154	1.806949681e-07
155	1.769533079e-07
156	1.72381457e-07
157	1.674127825e-07
158	1.64457515e-07
159	1.610831386e-07
160	1.557620263e-07
161	1.503631553e-07
162	1.483540961e-07
163	1.458758084e-07
164	1.425228088e-07
165	1.376659256e-07
166	1.318158194e-07
167	1.293958553e-07
168	1.274598795e-07
169	1.246620936e-07
170	1.214470197e-07
171	1.193365068e-07
172	1.166955596e-07
173	1.152652523e-07
174	1.140310457e-07
175	1.119202064e-07
176	1.098559442e-07
177	1.080492258e-07
178	1.063572515e-07
179	1.046870785e-07
180	1.033016869e-07
181	1.014325388e-07
182	1.003084447e-07
183	9.863120515e-08
184	9.69550028e-08
185	9.610615099e-08
186	9.431831297e-08
187	9.326494294e-08
188	9.218044982e-08
189	9.0708836e-08
190	8.981478036e-08
191	8.852286462e-08
192	8.751834458e-08
193	8.655265401e-08
194	8.60251748e-08
195	8.560150264e-08
196	8.405064717e-08
197	8.304706141e-08
198	8.173887529e-08
199	8.135923436e-08
200	7.972033791e-08
201	7.845272799e-08
202	7.745245222e-08
203	7.557933989e-08
204	7.487543626e-08
205	7.36039054e-08
206	7.272623373e-08
207	7.211421232e-08
208	7.15455726e-08
209	7.061066076e-08
210	7.011431444e-08
211	6.917539334e-08
212	6.849080173e-08
213	6.771156504e-08
214	6.730935401e-08
215	6.639752599e-08
216	6.582571678e-08
217	6.528713582e-08
218	6.461717151e-08
219	6.425814415e-08
220	6.372353946e-08
221	6.327739464e-08
222	6.289152086e-08
223	6.252081773e-08
224	6.198036455e-08
225	6.154230718e-08
226	6.038059833e-08
227	5.999383948e-08
228	5.968663439e-08
229	5.952003362e-08
230	5.890411879e-08
231	5.859952674e-08
232	5.793003463e-08
233	5.729974466e-08
234	5.643310956e-08
235	5.610369486e-08
236	5.563243705e-08
237	5.51363419e-08
238	5.455769493e-08
239	5.430587567e-08
240	5.3715994e-08
241	5.319704285e-08
242	5.297217907e-08
243	5.25654566e-08
244	5.227677778e-08
245	5.190177714e-08
246	5.132709715e-08
247	5.089674062e-08
248	5.067896008e-08
249	5.0150776e-08
250	4.95958194e-08
251	4.934075651e-08
252	4.89589797e-08
253	4.871685267e-08
254	4.8518426e-08
255	4.80254606e-08
256	4.789588164e-08
257	4.743059899e-08
258	4.69721394e-08
259	4.648741356e-08
260	4.609831548e-08
261	4.579172269e-08
262	4.549343995e-08
263	4.517741669e-08
264	4.491475168e-08
265	4.463767151e-08
266	4.443849134e-08
267	4.38578341e-08
268	4.368254118e-08
269	4.321429243e-08
270	4.305175173e-08
271	4.260333097e-08
272	4.204782319e-08
273	4.164216491e-08
274	4.141279747e-08
275	4.126961235e-08
276	4.107993303e-08
277	4.089808865e-08
278	4.042242389e-08
279	4.015075828e-08
280	3.979437532e-08
281	3.936009429e-08
282	3.920520533e-08
283	3.885788133e-08
284	3.852413915e-08
285	3.837926766e-08
286	3.81633004e-08
287	3.78558577e-08
288	3.758205959e-08
289	3.745310721e-08
290	3.722270318e-08
291	3.70339101e-08
292	3.659245987e-08
293	3.645029863e-08
294	3.619697413e-08
295	3.591709234e-08
296	3.578142545e-08
297	3.566588182e-08
298	3.552225985e-08
299	3.535369624e-08
300	3.522462052e-08
301	3.506447483e-08
302	3.490613659e-08
303	3.467056922e-08
304	3.452829831e-08
305	3.435085304e-08
306	3.410919707e-08
307	3.394411688e-08
308	3.367473489e-08
309	3.357305118e-08
310	3.342015343e-08
311	3.320702301e-08
312	3.297031584e-08
313	3.26708775e-08
314	3.250176816e-08
315	3.225653862e-08
316	3.211661253e-08
317	3.204383565e-08
318	3.192608231e-08
319	3.180772046e-08
320	3.175294572e-08
321	3.163746396e-08
322	3.149623465e-08
323	3.140695117e-08
324	3.129609048e-08
325	3.114958136e-08
326	3.105377176e-08
327	3.075239875e-08
328	3.055153887e-08
329	3.041912488e-08
330	3.027010346e-08
331	3.006250488e-08
332	2.987629356e-08
333	2.968035211e-08
334	2.959467165e-08
335	2.945468699e-08
336	2.916934976e-08
337	2.905173817e-08
338	2.891200032e-08
339	2.883068368e-08
340	2.875221226e-08
341	2.855649586e-08
342	2.838802166e-08
343	2.825858299e-08
344	2.820511329e-08
345	2.814814425e-08
346	2.805475571e-08
347	2.791578181e-08
348	2.775559233e-08
349	2.76006255e-08
350	2.747619045e-08
351	2.730881764e-08
352	2.7142963e-08
353	2.692094342e-08
354	2.681513684e-08
355	2.669860357e-08
356	2.654247168e-08
357	2.644534572e-08
358	2.631065759e-08
359	2.61459153e-08
360	2.605307311e-08
361	2.592848828e-08
362	2.58665683e-08
363	2.575157766e-08
364	2.563770494e-08
365	2.557035252e-08
366	2.536319797e-08
367	2.527272525e-08
368	2.518799781e-08
369	2.505406647e-08
370	2.501463629e-08
371	2.488999724e-08
372	2.48157844e-08
373	2.473797778e-08
374	2.457552008e-08
375	2.448082978e-08
376	2.439900719e-08
377	2.43272651e-08
378	2.423143772e-08
379	2.419162315e-08
380	2.409452378e-08
381	2.400858752e-08
382	2.395533386e-08
383	2.385987817e-08
384	2.380507572e-08
385	2.374922887e-08
386	2.362192051e-08
387	2.355509556e-08
388	2.347348848e-08
389	2.339283096e-08
390	2.331654256e-08
391	2.323055524e-08
392	2.313358199e-08
393	2.3082192e-08
394	2.301181969e-08
395	2.289298489e-08
396	2.282931101e-08
397	2.274178404e-08
398	2.268370013e-08
399	2.260598633e-08
