IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
7.83,1.83,6,0,0,1,0.85,4.880280135,4,62.40485252,31.76736441,0.955374521,819,800,10,0,0.5,1,7.2,4.09613
7.61,1.91,8,0,0,0,0.472082045,1.139508384,2.4,37.05744431,34.75967175,1.080572645,133,1200,4.205737598,0,0.1,0.719709098,6.8,2.40659
7.61,1.91,8,0,0,0,0.59,5.33,4,33.2,10.1,1.05,757,800,2,0,0.5,0.255,7.2,4.484
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,4.596557459,0,0.5,1,7.3,13.01
7.61,1.91,8,0,0,0,0.95,2.2,3.5,53.03030303,26.51515152,1.795584242,1564,750,10,1,0.5,2,7.2,20.4366
9.35,1.65,10,0,0,0,0.1,0.77,4,71.42857143,18.18181818,3.11,1402.4,1000,9.020795147,0,0.5,1,7.2,2.219720862
7.83,1.83,6,1,0,0,2.826781398,5.420706679,4.4,42.82608696,14.64080544,0.95,513.05528,900,10,0,0.1,0.4,6.8,16.30027
7.61,1.91,8,1,0,0,1.45,12.69,2.7,67.13947991,21.19779354,1.035440774,824,900,3,0,1,2,8.8,26.52
7.4,1.55,5,0,1,0,0.17,9.8,3.2,50.6,38.6,1.093104983,221,600,3.124546117,0,0.5,0.167,7.2,14.107
7.83,1.83,6,1,0,0,0.9,7.430009163,4,57.40977324,0,1.13,952.026951,900,5,0,0.1,1,6.8,2.04326
0,0,0,0,0,0,0,4.465892361,0,33.33333333,33.33333333,1.181401152,1494,950,10,0,0.1,5,6.8,0.3407175
7.83,1.83,6,0,1,0,0.98339719,3.173690932,12,48.24,15.14,1.23,469.6,850,3,0,0.5,0.3,7.3,1.473
7.61,1.91,8,0,1,0,2.14,5.401029567,4,55.02691439,8.942524744,0.92,143.97,1000,10,0,0.5,0.53167424,7.2,46.34490455
7.69,1.9,10,0,0,0,1.3,5.650482986,3.6,37.01709202,24.52977445,1.123898584,646,900,5,0,0.1,0.5,6.8,21.07820764
7.61,1.91,8,0,1,0,2.723524824,6.306607453,4,42.32,15.78,1.02,314.4,900,2,0,0.5,0.2,7.3,9.194781
7.61,1.91,8,0,0,1,2.6,3.9,3,52.4,35.1,1.18,901.574345,900,4.811418443,0,0.5,0.603540682,7.3,5.76017
0,0,0,0,0,0,0,1.21,0,52.86584218,29.95841682,1.262032628,592.9350006,800,10.08905501,0,0.5,0.2,7.2,0.050569364
7.61,1.91,8,1,0,0,2.07,7.29,2.7,53.6351166,29.76680384,1.109732707,923,1000,3,0,1,0.226,8.8,18.15
7.61,1.91,8,1,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.047210139,741,900,5,1,0.5,1,7.2,307.21028
7.61,1.91,8,0,1,0,7.18,5.727205076,4,48.90811356,16.67226608,1.022260723,620.4287328,1000,5,0,0.5,0.8,7.2,21.98037733
7.83,1.83,6,1,0,0,2.1,9.253650892,4,67.52767334,24.11585962,0.878099427,533.3087014,950,8.493842513,0,0.5,1,7.2,3.02342266
7.61,1.91,8,0,1,0,6.11,7.347705754,4,58.5,15.6,1.07024545,451.681389,650,5,0,0.5,0.5,7.3,35.42628
9.35,1.65,10,1,0,0,7.54,10.28,4,69.35797665,15.6614786,0.89,368.3,900,3,0,1,2,8.8,0.23069
7.61,1.91,8,0,1,0,4.468391032,4.86656449,4,45.18061,42.3732,1.372018598,896.4966161,700,2,0,0.5,0.746746139,7.2,6.156872
7.81,1.88,7,0,0,1,3.28,8.229797809,4,51.68279929,25.3282154,0.98,328.9485297,900,3,0,0.5,0.1,7.2,1.14563
9.35,1.65,10,0,0,1,0.34,1.671331215,4.2,58.91,23.11,2.49,2176.56,900,5,0,0.5,1,7.2,2.6
7.61,1.91,8,0,0,0,1.826387217,5.92,3.4,44.61917052,29.42200348,0.878172676,390.6150727,800,20,0,0.5,0.2,7.2,22.50801
7.83,1.83,6,0,1,0,2.981510761,4.64,4,48.81209503,20.95032397,1.45,867.3964733,850,2,0,0.1,0.3,6.8,0.82886
7.61,1.91,8,0,1,0,4.02,11.37358606,4,64.1,20.2,0.9618886,228.8565938,650,5,0,0.5,0.5,7.3,24.86515
7.69,1.9,10,0,0,0,2.1,3.79,4,43.4,25.8,1.028404816,326.1994934,900,5.900555195,0,0.1,0.3,6.8,0.029241484
7.61,1.91,8,0,0,1,1.84,5.863920513,4,32.10984231,48.54540511,1.005945963,819,800,10,0,0.5,1,7.2,2.52442
7.61,1.91,8,0,1,0,7.53,8.808216874,4,55.3,19.3,1.015205425,496.3234922,650,5,0,0.5,0.5,7.3,2.2300564
7.83,1.83,6,0,0,0,1.616423984,3.706157115,4,29.5,10,1.046333642,365.9,950,10,0,0.1,1,6.8,2.2848
0,0,0,0,1,0,0,9.8,0,52.67549669,29.85430464,0.799838543,271,600,8.75516672,0,0.5,0.167,7.2,6.04
0,0,0,0,0,1,0,3.419587854,0,13.21755909,0,1.308655844,622.2848454,1000,4.42703435,0,0.5,0.635646917,7.2,0.427781846
7.61,1.91,8,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.524454607,1564,650,10,1,1,2,13.8,25.00155
9.35,1.65,10,0,0,0,0.802576972,3.343683832,5.09298,39.51890034,35.3529699,0.61,796.4704091,1000,8.542872664,0,0.5,2,7.2,3.05435
7.69,1.9,10,1,0,0,0.51,3.15,3,50,42.99363057,0.98,1075,1000,2,0,0.5,0.1,7.2,0.08001
7.61,1.91,8,0,0,0,2.2,3.93,4,57.3,27.5,0.972706772,470.5552963,900,5.994070154,0,0.1,0.3,6.8,0.632054095
0,0,0,0,1,0,0,9.27,0,27.3,45.2,0.55,249,800,10.12728555,0,0.1,2,6.8,5.97583
7.81,1.88,7,0,0,1,3.69,12.47168957,3.8,40.82882883,33.94594595,1.048932249,665.9105978,700,5,0,0.5,1,7.3,0.56201
7.61,1.91,8,0,0,0,0.953383072,2.453946912,4,45.10628709,20.98700518,0.900747346,237.9225274,800,10.34424256,0,0.5,0.2,7.2,5.14644
7.61,1.91,8,0,0,1,1.57,7.578526301,3.7,78.1,16.9,1.09,502.4206011,800,10,0,0.5,1,7.2,2.56887
7.83,1.83,6,1,0,0,0.458155678,2.655390688,4,49.22,0,0.95,646,1100,7.216868558,0,0.1,0.6,6.8,3.32072
0,0,0,1,0,0,0,15.3473426,0,27.36630119,0,0.98,493,900,5,0,0.1,0.8,6.8,1.88218
7.81,1.88,7,0,0,0,1.6,7.785499333,4,51.32496513,15.34170153,1.06,626,800,3,0,0.1,0.2,6.8,1.75817
7.61,1.91,8,1,0,0,52.48,13.63201182,12,46.79,27.52,0.826324954,425.9676049,1000,5,0,0.5,0.768598419,7,1.06203
0,0,0,0,1,0,0,3.9,0,16.54620315,9.869425612,0.72,737.1886996,950,7.998993737,0,0.1,0.5,6.8,0.222
0,0,0,0,0,0,0,6.28641,0,50.65180286,35.36454033,0.75,572.7873996,700,8.855748061,0,0.1,0.4,6.8,1.87
7.69,1.9,10,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,1.068665599,601.6931657,700,5,0,0.5,1,7.3,0.4202
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,4.338831104,0,0.5,0.5,7.3,9
7.83,1.83,6,1,0,0,0.51,4.09,3,32.18673219,21.86732187,1.129001937,1298,1000,5.285144231,0,0.5,1,7.2,1.4453
7.61,1.91,8,0,1,0,1.58,3.708867819,4,30.97460792,10.660941,2.94,1171,900,5,0,0.5,0.4,7.3,15.00669
7.61,1.91,8,0,1,0,2.575564413,3.682605258,4,49.87206,38.70668,1.400152352,926.5577653,700,2,0,0.5,0.634673102,7.2,2.4393544
7.61,1.91,8,0,0,0,17.62886598,15.395189,4,62.77311618,23.5883447,0.7,308,800,10,1,0.5,0.5,7.2,18.03318
7.61,1.91,8,0,0,0,3.2,7.352055808,5,47.38,17.67,0.978874495,399.3817123,500,20,0,0.1,0.2,6.8,12.89
7.37,1.96,10,0,0,0,16.24969381,2.370282849,4,24.8,0,1.3,763.4571952,1000,3,0,0.1,0.325,6.8,0.24290678
7.69,1.9,10,0,0,0,1.11,14.6,4,45.9,32.9,1.8,807,900,2,0,0.1,0.76,6.8,2.61549
0,0,0,1,0,0,0,18.72693727,0,53.44827586,33.33333333,1.04,488,700,2,0,0.1,4,7.2,0.52
0,0,0,0,1,0,0,7.218857423,0,19.2,22.1,0.54,456.6164371,1060,8.389331113,0,0.1,1.562001189,6.8,0.204075167
7.61,1.91,8,0,0,0,1.08,5.762991436,3.7,12.94,24.29,1.01,405.6,800,5,0,0.5,0.5,7.2,8.12465651
7.83,1.83,6,0,0,1,0.31,2.397640417,4,10.9375,9.375,1.14,667,1000,5,0,0.1,1,6.8,5.42
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.0072281,224,900,6.254611641,0,0.5,0.8,7.33,23.49139
7.61,1.91,8,0,1,0,0.087,2.5,4.2,13.56312691,44.24189549,0.96940754,588.393391,800,5.681356177,0,0.1,1,6.8,3.5755
7.61,1.91,8,0,0,1,3.28,7.326269792,4,54.35094773,31.66283745,0.98,261,900,3,0,0.1,0.1,6.8,3.16326
7.61,1.91,8,0,1,0,2.14,4.054771776,4,56.95692026,13.73052246,0.91,113.21,1000,10,0,0.5,0.610493815,7.2,24.87395959
7.83,1.83,6,0,0,0,1.54072305,3.683715873,8,35,6,1.15,692.6,950,10,0,0.5,1,7.2,6.5894
