"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"EC","PTEMP",8.10869565217391,31,"PTEMP:EC",7.2012
"EC","PTIME",6.9495652173913,12,"PTIME:EC",7.2012
"EC","PYRID",7.23826086956522,14,"PYRID:EC",7.2012
"EC","PYRRO",7.32217391304348,15,"PYRRO:EC",7.2012
"EC","RAMAN",7.37913043478261,19,"RAMAN:EC",7.2012
"EC","RR",5.76260869565218,12,"RR:EC",7.2012
"ENEG","BET",6.66434782608696,17,"BET:ENEG",3.94
"ENEG","CL",6.63608695652174,27,"CL:ENEG",3.94
"ENEG","ENEG",8.84434782608696,18,"ENEG:ENEG",3.94
"ENEG","EPH",7.71783496007099,13,"EPH:ENEG",3.94
"ENEG","IP",7.2812777284827,17,"IP:ENEG",3.94
"ENEG","MNN",7.45,27,"MNN:ENEG",3.94
"ENEG","MT",3.97826086956522,43,"MT:ENEG",3.94
"ENEG","NC",7.09130434782609,31,"NC:ENEG",3.94
"ENEG","NDE",7.44188110026619,15,"NDE:ENEG",3.94
"ENEG","PTEMP",7.87826086956522,28,"PTEMP:ENEG",3.94
"ENEG","PTIME",6.18695652173913,16,"PTIME:ENEG",3.94
"ENEG","PYRID",6.7104347826087,15,"PYRID:ENEG",3.94
"ENEG","PYRRO",6.43347826086957,19,"PYRRO:ENEG",3.94
"ENEG","RAMAN",7.08695652173913,21,"RAMAN:ENEG",3.94
"ENEG","RR",5.87956521739131,13,"RR:ENEG",3.94
"EPH","BET",7.00434782608696,16,"BET:EPH",4.5004
"EPH","CL",6.11260869565217,29,"CL:EPH",4.5004
"EPH","ENEG",6.98521739130435,27,"ENEG:EPH",4.5004
"EPH","EPH",7.47071872227152,19,"EPH:EPH",4.5004
"EPH","IP",6.57320319432121,24,"IP:EPH",4.5004
"EPH","MNN",6.80652173913044,29,"MNN:EPH",4.5004
"EPH","MT",5.89130434782609,39,"MT:EPH",4.5004
"EPH","NC",6.83391304347826,34,"NC:EPH",4.5004
"EPH","NDE",7.70674356699201,19,"NDE:EPH",4.5004
"EPH","PTEMP",7.97826086956522,31,"PTEMP:EPH",4.5004
"EPH","PTIME",5.8504347826087,15,"PTIME:EPH",4.5004
"EPH","PYRID",6.37826086956522,16,"PYRID:EPH",4.5004
"EPH","PYRRO",6.51565217391304,20,"PYRRO:EPH",4.5004
"EPH","RAMAN",7.06521739130435,21,"RAMAN:EPH",4.5004
"EPH","RR",5.20565217391304,13,"RR:EPH",4.5004
"FLOWCELL","BET",8.37478260869565,5,"BET:FLOWCELL",9.4028
"FLOWCELL","CL",9.65826086956522,14,"CL:FLOWCELL",9.4028
"FLOWCELL","ENEG",10.5486956521739,13,"ENEG:FLOWCELL",9.4028
"FLOWCELL","EPH",9.22182786157942,10,"EPH:FLOWCELL",9.4028
"FLOWCELL","IP",9.02617568766637,12,"IP:FLOWCELL",9.4028
"FLOWCELL","MNN",10.645652173913,17,"MNN:FLOWCELL",9.4028
"FLOWCELL","MT",11.8695652173913,29,"MT:FLOWCELL",9.4028
"FLOWCELL","NC",12.1921739130435,18,"NC:FLOWCELL",9.4028
"FLOWCELL","NDE",8.41171251109139,12,"NDE:FLOWCELL",9.4028
"FLOWCELL","PTEMP",12.5086956521739,13,"PTEMP:FLOWCELL",9.4028
"FLOWCELL","PTIME",7.72260869565217,9,"PTIME:FLOWCELL",9.4028
"FLOWCELL","PYRID",7.9704347826087,8,"PYRID:FLOWCELL",9.4028
