IP,ENEG,NDE,ZIF,POLY,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,EC,CL,NMT,CPGC,EPH,ovp
7.61,1.91,8,0,0,0,1,0.39,6.75,5,44.33962264,23.77358491,2.1,952,900,2,4.890201255,0.5,1,177.8,1,7.2,0.79
0,0,0,0,0,0,0,0,4.149895473,0,34.21052632,32.89473684,1.189310958,1440,950,0.5,10,0.1,5,177.8,0,6.8,0.64
7.81,1.88,7,1,0,0,0,0.7,8.589306268,3.7,53.95465995,0,1.02,638,900,2,3,1,0.32,177.8,0,8.8,0.49
0,0,0,1,0,0,0,0,19.33701657,0,50,38.89,1.02,392,700,4,2,0.1,4,177.8,1,7.2,0.82
7.83,1.83,6,1,0,0,0,1.366013249,3.644523348,3.9,42.82608696,14.64080544,0.95,513.05528,1100,1,10,0.1,0.4,127,1,6.8,0.39
7.61,1.91,8,0,0,1,0,2,9.277295795,4,88.45875543,5.76803804,1.010110555,321.0653725,500,1.33,60,0.5,1,177.8,1,7.3,0.49
7.83,1.83,6,1,0,0,0,2.6,2.67,4,39.49896804,0,1.305348993,1168.43,1000,3,5,0.5,0.4,177.8,1,7.2,0.35
7.61,1.91,8,0,0,0,0,0.5,2.82,3.4,25.18703242,54.76309227,0.97,1309.3,1000,1,7.142728997,0.1,0.833,177.8,1,6.8,0.75
7.83,1.83,6,0,0,0,0,0.86,4.290813177,4.2,13.47037559,66.88622021,1.04,1009,900,2,5,0.5,2,127,1,7.2,0.39
6.74,1.66,5,0,0,0,0,0.31,4.55164627,4,31.5,35.4,1.043392611,516,975,0.75,5.506851468,0.1,0.4,177.8,0,7.5,0.44
7.69,1.9,10,1,0,0,0,0.820591724,3.926659615,3.9,47.15284715,25.57442557,1.00587278,321,1050,1,6.077007809,0.1,0.8,177.8,0,6.7,0.39
7.81,1.88,7,0,0,0,0,1.6,10.94354096,4,47.79195289,24.4357213,1.08,356,700,3,3,0.1,0.2,177.8,1,6.8,0.59
7.69,1.9,10,0,0,0,0,1.14,7.827835615,4,50.80418936,22.95276944,1.042396734,409.8343894,800,2,5,0.1,0.5,177.8,1,6.8,0.39
7.61,1.91,8,0,1,0,0,0.75,3.96,4,49,18,0.94,263,900,2,2,0.5,1,127,1,7.3,0.69
7.81,1.88,7,0,0,0,0,1.6,5.051205294,4,42.3580786,10.91703057,1.02,779,900,3,3,0.1,0.2,177.8,1,6.8,0.59
7.61,1.91,8,1,0,0,0,2.01,4.727602668,4,44.94940833,19.97942034,0.994499209,602.930251,1000,2,5,0.5,0.8,177.8,1,7.2,0.59
7.69,1.9,10,1,0,0,0,1.98,4.813460132,4,37.42,16.83,1.1,1347.1,1100,3,5,0.1,1.5,127,1,6.8,0.79
7.83,1.83,6,0,0,0,0,3.2,3.2,4,43.6,6.4,1.127423904,594.8489072,900,2,5,0.5,1,127,0,7.2,0.33
7.61,1.91,8,0,0,0,1,3.77,18.01518053,4.1,59.47159385,32.72319116,1.037799047,434.761263,700,2,5,0.5,1,177.8,1,7.3,0.59
7.61,1.91,8,0,1,0,0,1.03,2.91,4,41,24,0.87,91,100,2,2,0.5,1,127,1,7.3,0.69
0,0,0,0,0,0,0,0,0.53623,0,26.99242002,38.06689221,2.4,301,700,3,4.179670164,0.5,0.589,177.8,0,7.5,0.79
7.61,1.91,8,0,0,1,0,0.087,2.5,4.2,40.81781672,36.49142023,0.990054166,607.4975982,700,2,4.883315528,0.1,1,177.8,1,6.8,0.69
7.81,1.88,7,0,0,0,0,1.6,7.785499333,4,51.32496513,15.34170153,1.06,626,800,3,3,0.1,0.2,177.8,1,6.8,0.59
7.61,1.91,8,0,0,0,1,2.6,3.9,3,52.4,35.1,1.18,901.574345,900,1,4.811418443,0.5,0.603540682,177.8,0,7.3,0.69
7.81,1.88,7,1,0,0,0,0.63,9.029628337,4,43.16,27.81,0.91,731.7803518,900,3,5.220839802,0.1,2,127,1,6.8,0.69
0,0,0,0,0,0,0,0,2.85,0,5.6,10.6,0.98,828.1,1000,2,5,0.1,1.2,177.8,1,6.8,0.44
0,0,0,0,0,1,0,0,9.61,0,27.5,45.4,0.58,255,800,1,9.517779536,0.1,2,177.8,1,6.8,0.49
7.83,1.83,6,0,0,0,0,3.2,6.113147006,5,50.28,19.37,0.956250267,536.379432,500,1,20,0.1,0.2,177.8,1,6.8,0.59
7.83,1.83,6,0,0,0,0,0.8,5.5,4,50.7,13.3,1.41,525.9,900,2,5,0.1,0.57,50.8,0,6.8,0.44
7.83,1.83,6,0,0,0,0,0.71,10.6,3.8,40.14181,11.84868,1.28,279,900,2,2,1,1,177.8,1,8.8,0.47
7.83,1.83,6,1,0,0,0,0.856793146,10.70991432,4.4,52.17496108,27.93663213,1.01,1050,900,4,2,0.1,4,177.8,1,6.8,0.62
7.61,1.91,8,0,0,0,0,1.39,6.119044162,4,23.29980225,57.26936635,1.47,308,900,3,5.204262164,0.5,1,177.8,1,7.2,0.79
7.61,1.91,8,1,0,0,0,1.61,4.578502677,3.3,18.3,11.21,0.996642012,752.9473874,1000,3,10,0.1,0.569908296,127,0,6.8,0.49
7.61,1.91,8,0,1,0,0,1,5.25,4,35.19054311,31.24741671,1.015946332,520.2360027,950,2,5,0.1,1,177.8,1,6.8,0.79
7.81,1.88,7,0,0,0,1,3.28,8.229797809,4,51.68279929,25.3282154,0.98,328.9485297,900,1,3,0.5,0.1,177.8,1,7.2,0.59
7.61,1.91,8,0,0,1,0,5.744624203,5.349955365,4,56.65582,33.72075,1.169174915,695.8306577,600,0.5,2,0.5,0.618533518,127,1,7.2,0.65
7.83,1.83,6,1,0,0,0,0.52,4.13,3,39.80582524,18.93203883,1.107275706,1275,1000,2,5.304048117,0.5,1,177.8,1,7.2,0.39
0,0,0,0,0,0,1,0,4.55,0,23.73626374,38.68131868,1.33,802,1000,2,5,0.1,0.2,177.8,0,6.8,0.49
7.83,1.83,6,1,0,0,0,2.1,9.253650892,4,67.52767334,24.11585962,0.878099427,533.3087014,950,1,8.493842513,0.5,1,177.8,1,7.2,0.49
7.61,1.91,8,1,0,0,0,1.75,4.94,4,46.79,16.83,0.92,451,800,2,5.333,0.5,0.3,127,1,7.2,0.69
7.83,1.83,6,1,0,0,0,0.11,8.01,4,68.15028581,11.16044176,1.04,347.2,950,2,4.269489743,0.5,1,177.8,1,7.2,0.41
7.61,1.91,8,0,1,0,0,1.841854557,5.112734201,2.6,17.39077374,24.68879668,0.985543626,354,800,3,4.837964598,0.1,0.606935766,177.8,1,6.8,0.59
0,0,0,0,0,1,0,0,0.98,0,79.6,20.4,0.744,543.6023474,300,3,5,0.5,0.3537,177.8,0,7.3,0.69
7.4,1.55,5,1,0,0,0,1.184569487,3.685327292,4,48.2,29.2,1.098105433,311,1050,1,5.609908958,0.1,0.8,177.8,0,6.7,0.39
0,0,0,1,0,0,0,0,4.096,0,38.55167715,15.84777063,0.907,650,1000,3,5.305778778,0.5,1,177.8,1,7.3,0.39
7.83,1.83,6,0,0,0,0,0.36,7.89,3.95,53.3,15.1,1.28,469.3659072,900,2,3.230077741,0.1,0.746364288,177.8,1,6.8,0.49
0,0,0,0,0,0,1,0,12.59,0,43,0,1.11,126,900,1,2.596581592,0.1,0.8,127,1,6.8,0.59
7.61,1.91,8,1,0,0,0,32.8,13.66841813,12,46.79,27.52,1.01761982,422.9044867,1000,2,5,0.5,0.767233907,177.8,1,7,0.79
7.83,1.83,6,1,0,0,0,2.835854416,5.319885644,4.4,44.44444444,17.74625447,1.04,622.18399,900,1,10,0.1,0.4,127,1,6.8,0.49
7.81,1.88,7,0,0,0,0,0.37,4.703854065,4,38.5,31.5,1.019225421,660,975,0.75,5.821192682,0.1,0.4,177.8,0,7.5,0.44
7.61,1.91,8,0,0,0,1,5,8.4,4,49,19,1.12,724.774937,900,2.174619654,4.943338371,0.5,1,127,1,7.2,0.69
7.61,1.91,8,0,0,0,0,1.826387217,5.92,3.4,44.61917052,29.42200348,0.878172676,390.6150727,800,1,20,0.5,0.2,177.8,1,7.2,0.69
0,0,0,0,0,1,0,0,5.79,0,22.62521589,27.63385147,1.04,741.93,800,2,5,0.5,2.5,177.8,1,7.65,0.44
7.83,1.83,6,0,0,0,0,3.049132022,3.519953879,4,69.32907348,7.348242812,0.931,160,800,2,2,0.1,2,177.8,1,6.8,0.55
7.61,1.91,8,0,0,0,1,1.84,5.863920513,4,32.10984231,48.54540511,1.005945963,819,800,1,10,0.5,1,177.8,1,7.2,0.49
0,0,0,0,0,1,1,0,9.40005886,0,58.03723599,31.00554441,1.06153799,123.4,550,4,3,0.1,0.5,177.8,1,6.8,0.64
0,0,0,0,0,0,0,0,4.243117392,0,33.56643357,57.64235764,0.88,1004.7,900,2,5,0.1,0.5,177.8,1,6.8,0.59
7.61,1.91,8,1,0,0,0,0.97,7.13340806,4,45.7,43.8,0.97,631.0987364,1000,1,7.289453898,0.5,0.5,177.8,0,7.2,0.59
7.83,1.83,6,0,0,0,0,1.35,8.678522853,12,34.19630615,16.82393741,1.07287687,286.3,900,1,6.536066084,0.5,1,127,0,7.2,0.43
7.61,1.91,8,0,0,0,0,2.39,2.82,12,21.91,21.69,1.18,437,700,1,1,0.5,1.3,127,1,7.2,0.67
7.61,1.91,8,1,0,0,0,3.22,3.912861367,3.2,18.3,11.21,0.958405613,593.4888966,1000,3,10,0.1,0.608025058,127,0,6.8,0.49
7.83,1.83,6,0,0,0,1,0.31,2.397640417,4,10.9375,9.375,1.14,667,1000,2,5,0.1,1,177.8,1,6.8,0.66
7.61,1.91,8,0,0,0,0,0.37599,6.40078,3.9,45.22917583,26.82011353,0.94,814.3,1000,2,10,0.5,0.2,127,1,7.2,0.69
7.61,1.91,8,1,0,0,0,1.45,12.69,2.7,67.13947991,21.19779354,1.035440774,824,900,4,3,1,2,127,1,8.8,0.72
7.61,1.91,8,1,0,0,0,1.06,5.485940183,4,52.66798734,18.48486094,1.03,900,800,1,5,0.5,0.6,177.8,1,7.2,0.59
7.83,1.83,6,0,0,1,0,11.9199485,17.02996079,4,42.07,50.81,1.02,720.81,800,2,5.97572396,0.5,1,177.8,0,7.2,0.46
7.61,1.91,8,0,0,0,0,1.93,1.9,3.5,61.00364452,30.50182226,1.755946747,1369,650,2,10,0.5,2,177.8,1,7.2,0.62
7.61,1.91,8,0,1,0,0,0.199,2.81,3.5,25.5,2.83,1.019782918,57,1000,1,5,0.5,0.3,177.8,1,7.2,0.69
0,0,0,0,0,0,0,0,9.499203168,0,48.1,27.5,0.89,957,900,2,5,0.1,1,177.8,0,6.8,0.49
8.35,2.05,10,0,0,0,0,0.03,9.940460042,4,64.19,17.05,1.036860502,33.6,800,2,6.472776613,0.1,1,177.8,1,6.8,0.79
7.81,1.88,7,0,1,0,0,1.11,10.5,4,41.5,41.6,1.79,758,900,2,2,0.1,0.76,177.8,0,6.8,0.39
7.69,1.9,10,0,1,0,0,1.055565635,1.974237601,4,55,19,2.92,1213.553672,800,3,5,0.5,1.771739035,177.8,0,7.2,0.55
7.61,1.91,8,0,1,0,0,0.5,7.6,3.8,39.82401656,12.37060041,1.106347103,567.4895172,900,2,5,0.1,1,177.8,1,6.8,0.674
0,0,0,1,0,0,0,0,11.8797625,0,46.8486813,30.20721968,1.04,475,900,3,5,0.1,0.4,177.8,1,6.8,0.68
0,0,0,0,0,0,0,0,4.788117651,0,49.52380952,8.333333333,0.836,160,800,2,2,0.1,2,177.8,1,6.8,0.45
0,0,0,0,0,0,1,0,3.9,0,24.35897436,28.97435897,1.23,974,1100,2,5,0.1,0.2,177.8,0,6.8,0.49
7.61,1.91,8,0,0,1,0,2.723524824,6.306607453,4,42.32,15.78,1.02,314.4,900,2,2,0.5,0.2,177.8,0,7.3,0.56
7.83,1.83,6,0,0,1,0,1.75,2.8,4.7,61,15,1.055897879,224,900,1,5.286583338,1,0.8,127,1,8.8,0.65
0,0,0,0,0,0,0,0,4.30034,0,39.13085942,32.40627485,1.07,1118,600,0.5,1,0.1,0.8,177.8,1,6.8,0.39
7.83,1.83,6,0,0,0,0,1.75,7.556611419,4,45.39,11.35,1.055266294,367,900,1,6.246802621,0.5,1,127,0,7.2,0.38
0,0,0,0,0,0,1,0,3.92,0,15.08951407,10.4859335,1.074193466,235.8,900,2.617813469,3.607369831,0.5,0.2,177.8,1,7.3,0.29
0,0,0,0,0,1,0,0,3.9,0,16.54620315,9.869425612,0.72,737.1886996,950,1.621032894,7.998993737,0.1,0.5,50,1,6.8,0.87
0,0,0,0,0,0,0,0,7.494086279,0,27.11420385,50.1023332,0.911023129,174,900,1,30,0.1,0.75,177.8,0,6.8,0.45
7.61,1.91,8,0,1,0,0,2.72,1.71,4,24.56140351,11.11111111,0.847,732,800,2.5,5,0.1,1,177.8,1,6.8,0.79
0,0,0,0,0,0,0,0,3.78865,0,57.70393148,28.52414448,0.83,810.1230903,900,1,8.666997376,0.1,0.4,177.8,1,6.8,0.72
0,0,0,0,0,0,1,0,7.22,0,45,0,1.17,119,1000,1,2.873079387,0.1,0.8,127,1,6.8,0.49
0,0,0,0,0,0,1,0,13.8,0,52,0,1.2,160,900,1,2.221962136,0.1,0.8,127,1,6.8,0.49
7.83,1.83,6,0,0,0,0,1.33,7.46479067,4,44.97,10.46,1.076426567,364.5,900,1,5.852921608,0.5,1,127,0,7.2,0.34
9.35,1.65,10,0,0,0,0,1.013530268,4.230217647,5.09298,50.54347826,25.87587894,0.68,830.7241621,900,1,8.18327544,0.5,2,177.8,1,7.2,0.49
7.81,1.88,7,0,0,0,0,0.011,4.709943213,3.6,44.74,34.78,1.027155236,24,500,1,5,0.5,0.7,177.8,0,3.9,0.69
7.61,1.91,8,1,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.074301081,741,900,2,5,0.5,1,177.8,1,7.2,0.59
0,0,0,0,0,0,1,0,4.071082391,0,26.7,61.4,0.99,1269,700,1.5,4,0.5,0.07,177.8,0,7.2,0.7
7.61,1.91,8,1,0,0,0,0.872,5.3,4,53.43117011,32.99115044,0.94,178.4,600,2,5,0.5,0.6,177.8,1,7.2,0.69
7.61,1.91,8,0,0,1,0,6.11,7.347705754,4,58.5,15.6,1.07024545,451.681389,650,3,5,0.5,0.5,177.8,1,7.3,0.621
7.83,1.83,6,0,1,0,0,1.458713195,2.291780881,8,29.5,5.5,1.099537009,480.5,950,0.667,10,0.1,1,127,0,6.8,0.42
7.83,1.83,6,0,1,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,3,4.729955544,0.1,1,127,1,6.8,0.47
0,0,0,0,0,0,1,0,20.02,0,55,0,1.28,90,800,1,2.09677988,0.1,0.8,127,1,6.8,0.49
7.61,1.91,8,0,0,0,0,2.2,3.93,4,57.3,27.5,0.972706772,470.5552963,900,0.0125,5.994070154,0.1,0.3,177.8,0,6.8,0.59
7.83,1.83,6,0,0,0,0,0.3,4.03,4,39.6,8,1.16,732.7,900,2,5,0.1,0.57,50.8,0,6.8,0.44
7.83,1.83,6,0,0,0,0,0.71,10.6,3.8,40.14181,11.84868,1.28,279,900,2,2,0.1,1,177.8,1,6.8,0.65
7.83,1.83,6,0,0,1,0,1.75,2.8,4.7,61,15,1.0072281,224,900,1,6.254611641,0.5,0.8,127,1,7.33,0.65
7.4,1.55,5,0,1,0,0,5,6.22,3,38.68594834,29.66647162,1.137967718,345,900,3,5.064324325,0.1,0.785,177.8,0,6.8,0.39
9.35,1.65,10,0,0,0,0,0.01,0.61,4,68.85245902,14.75409836,2.89,1292.4,1100,1,8.660369953,0.5,1,177.8,1,7.2,0.42
7.61,1.91,8,0,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.524454607,1564,650,2,10,1,2,177.8,1,13.8,0.28
0,0,0,0,1,0,0,0,4.306736035,0,24,5,1.196324212,770.8,900,3,3,0.1,1,127,0,6.8,0.47
0,0,0,1,0,0,0,0,18.72693727,0,53.44827586,33.33333333,1.04,488,700,4,2,0.1,4,177.8,1,7.2,0.82
0,0,0,0,1,0,0,0,6.04,0,32.45033113,9.105960265,0.926,1286,800,2,5,0.1,0.5,177.8,1,6.8,0.49
7.81,1.88,7,0,0,0,1,3.69,12.47168957,3.8,40.82882883,33.94594595,1.048932249,665.9105978,700,2,5,0.5,1,177.8,1,7.3,0.49
0,0,0,1,0,0,0,0,2.776728994,0,36.79,0,0.98,768,1100,1,6.060807798,0.1,0.6,127,1,6.8,0.69
7.61,1.91,8,0,0,1,0,2.099893798,3.908537959,4,33.54,6.66,1.03,369.4,1000,2,2,0.5,0.2,177.8,0,7.3,0.76
7.83,1.83,6,1,0,0,0,0.2,2.5,4,45.13388569,21.55679635,1.02,1156.6,1000,3,4.396268341,0.5,1,177.8,1,7.2,0.47
0,0,0,0,0,1,0,0,3.28,0,15.85365854,21.95121951,1.07,743.45,1000,2,5,0.5,2.5,177.8,1,7.65,0.44
0,0,0,0,1,0,0,0,2.33,0,25.4,3.39,1.018004948,373,1000,1,5,0.5,0.3,177.8,1,7.2,0.69
7.83,1.83,6,0,0,0,0,2.3,2.3,4,44.4,4.7,1.120989563,601.5032528,900,2,5,0.5,1,127,0,7.2,0.33
7.61,1.91,8,1,0,0,0,38,16.4,0.64,74.97385849,25.02614151,1.02,150.1,550,2,5,0.5,1,127,1,7.2,0.69
0,0,0,0,0,0,1,0,6.037704796,0,27.58817952,53.79652658,1.043637993,835.9429409,800,2,10,0.5,1,177.8,1,7.2,0.49
0,0,0,0,0,0,1,0,5.59,0,12.00716846,17.20430108,1.118347232,420.7,600,2.731744971,3.984727029,0.5,0.2,177.8,1,7.3,0.39
0,0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,0.5,1,0.1,0.8,177.8,1,6.8,0.39
7.61,1.91,8,1,0,0,0,1.64,29.07,4,46.79,27.52,1.097494257,519.1764894,1000,2,5,0.5,0.749372608,177.8,1,7,0.69
7.83,1.83,6,0,0,0,0,1.782184718,5.814259386,3,38.95363026,25.22727273,0.943377209,435.9137655,800,1,20,0.5,0.2,177.8,1,7.2,0.39
7.69,1.9,10,1,0,0,0,1.43,4.82,4,49.51,17.07,0.94,459,800,2,5.333,0.5,0.3,127,1,7.2,0.49
0,0,0,0,0,0,0,0,3.247183565,0,21.95121951,8.710801394,1.05,75.6,1000,3,5,0.5,0.35,177.8,1,7.3,0.43
7.83,1.83,6,0,0,0,0,2.7,2.7,4,44.4,4.7,1.11747328,561.273538,900,2,5,0.5,1,127,0,7.2,0.33
7.61,1.91,8,1,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.047210139,741,900,2,5,0.5,1,177.8,1,7.2,0.89
7.61,1.91,8,0,0,0,1,2.7,11,3,55.4,28,0.996860161,383.5084337,700,1,5.431494146,0.5,0.368741556,177.8,0,7.3,0.79
7.61,1.91,8,0,0,0,1,2.7,8.655745476,4,60,14.3,1.07,639.033058,800,2,4.940296812,0.5,1,177.8,1,7.2,0.65
7.61,1.91,8,0,0,1,0,10.48,9.547383551,4,57.4,23.3,0.981498858,422.7526004,650,3,5,0.5,0.5,177.8,1,7.3,0.819
0,0,0,1,0,0,0,0,2.17,0,30.59639,20.66434,1.237721561,993.7527585,900,5,4.267036846,0.5,0.6,177.8,1,7.65,0.44
0,0,0,0,0,1,0,0,8.67,0,9.2,5.9,0.74,418,900,1.060083432,8.830871153,0.1,5,177.8,1,6.8,0.69
