"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"ENEG","MT",10.01,3,"MT:ENEG",4.1
"ENEG","NC",6.37,3,"NC:ENEG",4.1
"ENEG","NDE",6.94,3,"NDE:ENEG",4.1
"ENEG","PTEMP",8.44,4,"PTEMP:ENEG",4.1
"ENEG","PYRID",7.1,5,"PYRID:ENEG",4.1
"ENEG","PYRRO",7.96,2,"PYRRO:ENEG",4.1
"ENEG","RAMAN",7.96,4,"RAMAN:ENEG",4.1
"ENEG","RR",6.51,3,"RR:ENEG",4.1
"EPH","BET",5.82,6,"BET:EPH",2.5
"EPH","CL",6.95,5,"CL:EPH",2.5
"EPH","EC",6.38,4,"EC:EPH",2.5
"EPH","ENEG",6.23333333333333,7,"ENEG:EPH",2.5
"EPH","EPH",9.15,7,"EPH:EPH",2.5
"EPH","IP",4.04,9,"IP:EPH",2.5
"EPH","MNN",6.54,4,"MNN:EPH",2.5
"EPH","MT",8.05,5,"MT:EPH",2.5
"EPH","NC",5.55,5,"NC:EPH",2.5
"EPH","NDE",6.52,4,"NDE:EPH",2.5
"EPH","PTEMP",7.35,5,"PTEMP:EPH",2.5
"EPH","PYRID",5.42,8,"PYRID:EPH",2.5
"EPH","PYRRO",6.1,5,"PYRRO:EPH",2.5
"EPH","RAMAN",7.37,3,"RAMAN:EPH",2.5
"EPH","RR",5.02,6,"RR:EPH",2.5
"IP","BET",9.72,1,"BET:IP",1
"IP","CL",6.85,5,"CL:IP",1
"IP","EC",7.34,2,"EC:IP",1
"IP","ENEG",9.75555555555556,5,"ENEG:IP",1
"IP","EPH",9.45,5,"EPH:IP",1
"IP","IP",8.02,7,"IP:IP",1
"IP","MNN",8.22,2,"MNN:IP",1
"IP","MT",7.85,5,"MT:IP",1
"IP","NC",6.89,1,"NC:IP",1
"IP","NDE",6.84,3,"NDE:IP",1
"IP","PTEMP",7.83,3,"PTEMP:IP",1
"IP","PYRID",8.62,3,"PYRID:IP",1
"IP","PYRRO",9.2,0,"PYRRO:IP",1
"IP","RAMAN",6.77,3,"RAMAN:IP",1
"IP","RR",6.18,4,"RR:IP",1
"MNN","BET",5.24,7,"BET:MNN",4.5
"MNN","CL",8.09,3,"CL:MNN",4.5
"MNN","EC",7.21,3,"EC:MNN",4.5
"MNN","ENEG",8.24444444444444,6,"ENEG:MNN",4.5
"MNN","EPH",7.95,7,"EPH:MNN",4.5
"MNN","IP",8.62,7,"IP:MNN",4.5
"MNN","MNN",11.22,2,"MNN:MNN",4.5
"MNN","MT",9.29,7,"MT:MNN",4.5
"MNN","NC",5.36,4,"NC:MNN",4.5
"MNN","NDE",7.74,3,"NDE:MNN",4.5
"MNN","PTEMP",6.66,6,"PTEMP:MNN",4.5
"MNN","PYRID",8.42,3,"PYRID:MNN",4.5
"MNN","PYRRO",7.68,6,"PYRRO:MNN",4.5
"MNN","RAMAN",7.46,4,"RAMAN:MNN",4.5
"MNN","RR",5.85,5,"RR:MNN",4.5
"MT","BET",5.84,7,"BET:MT",4
"MT","CL",7.22,4,"CL:MT",4
"MT","EC",5.98,4,"EC:MT",4
"MT","ENEG",8.74444444444444,6,"ENEG:MT",4
"MT","EPH",6.1,8,"EPH:MT",4
"MT","IP",4.64,9,"IP:MT",4
"MT","MNN",6.26,6,"MNN:MT",4
"MT","MT",8.85,5,"MT:MT",4
"MT","NC",6.38,2,"NC:MT",4
"MT","NDE",7.54,3,"NDE:MT",4
"MT","PTEMP",7.45,5,"PTEMP:MT",4
"MT","PYRID",7.2,5,"PYRID:MT",4
"MT","PYRRO",6.92,4,"PYRRO:MT",4
"MT","RAMAN",7.86,4,"RAMAN:MT",4
"MT","RR",5.65,5,"RR:MT",4
"NC","BET",5.22,6,"BET:NC",3.9
"NC","CL",4.81,7,"CL:NC",3.9
"NC","EC",5.12,6,"EC:NC",3.9
"NC","ENEG",5.72222222222222,8,"ENEG:NC",3.9
"NC","EPH",6.35,7,"EPH:NC",3.9
"NC","IP",4.54,9,"IP:NC",3.9
"NC","MNN",6.74,4,"MNN:NC",3.9
"NC","MT",4.16,8,"MT:NC",3.9
"NC","NC",4.35,5,"NC:NC",3.9
"NC","NDE",6,5,"NDE:NC",3.9
"NC","PTEMP",4.47,7,"PTEMP:NC",3.9
"NC","PYRID",5.04,6,"PYRID:NC",3.9
"NC","PYRRO",4.8,5,"PYRRO:NC",3.9
"NC","RAMAN",5.25,5,"RAMAN:NC",3.9
"NC","RR",4.12,6,"RR:NC",3.9
"NDE","BET",10.12,1,"BET:NDE",5.3
"NDE","CL",6.25,5,"CL:NDE",5.3
"NDE","EC",8.3,0,"EC:NDE",5.3
"NDE","ENEG",11.3666666666667,4,"ENEG:NDE",5.3
"NDE","EPH",9.75,5,"EPH:NDE",5.3
"NDE","IP",10.02,7,"IP:NDE",5.3
"NDE","MNN",9.23,3,"MNN:NDE",5.3
"NDE","MT",7.62,6,"MT:NDE",5.3
"NDE","NC",7.28,2,"NC:NDE",5.3
"NDE","NDE",6.52,4,"NDE:NDE",5.3
"NDE","PTEMP",8.64,4,"PTEMP:NDE",5.3
"NDE","PYRID",7.26,4,"PYRID:NDE",5.3
"NDE","PYRRO",7.76,2,"PYRRO:NDE",5.3
"NDE","RAMAN",8.49,1,"RAMAN:NDE",5.3
"NDE","RR",8.04,2,"RR:NDE",5.3
"NMT","BET",11.04,2,"BET:NMT",6.4
"NMT","CL",5.95,5,"CL:NMT",6.4
"NMT","EC",7.47,1,"EC:NMT",6.4
"NMT","ENEG",11.3666666666667,4,"ENEG:NMT",6.4
"NMT","EPH",8.15,7,"EPH:NMT",6.4
"NMT","IP",6.74,9,"IP:NMT",6.4
"NMT","MNN",7.83,3,"MNN:NMT",6.4
"NMT","MT",10.08,4,"MT:NMT",6.4
"NMT","NC",6.08,2,"NC:NMT",6.4
"NMT","NDE",8.64,3,"NDE:NMT",6.4
"NMT","PTEMP",9.62,2,"PTEMP:NMT",6.4
"NMT","PYRID",7.36,4,"PYRID:NMT",6.4
"NMT","PYRRO",8.04,3,"PYRRO:NMT",6.4
"NMT","RAMAN",7.67,3,"RAMAN:NMT",6.4
"NMT","RR",6.08,4,"RR:NMT",6.4
"POLY","BET",11.24,2,"BET:POLY",9.6
"POLY","CL",9.43,1,"CL:POLY",9.6
"POLY","EC",7.41,3,"EC:POLY",9.6
"POLY","ENEG",12.5666666666667,4,"ENEG:POLY",9.6
"POLY","EPH",12,4,"EPH:POLY",9.6
"POLY","IP",13.26,6,"IP:POLY",9.6
"POLY","MNN",7.84,4,"MNN:POLY",9.6
"POLY","MT",11.61,3,"MT:POLY",9.6
"POLY","NC",6.49,1,"NC:POLY",9.6
"POLY","NDE",9.04,3,"NDE:POLY",9.6
"POLY","PTEMP",10.23,3,"PTEMP:POLY",9.6
"POLY","PYRID",9.62,3,"PYRID:POLY",9.6
"POLY","PYRRO",7.62,4,"PYRRO:POLY",9.6
"POLY","RAMAN",8.47,3,"RAMAN:POLY",9.6
"POLY","RR",7.44,2,"RR:POLY",9.6
"PTEMP","BET",5.34,7,"BET:PTEMP",2.8
"PTEMP","CL",5.68,6,"CL:PTEMP",2.8
"PTEMP","EC",6.41,3,"EC:PTEMP",2.8
"PTEMP","ENEG",7.23333333333333,7,"ENEG:PTEMP",2.8
"PTEMP","EPH",7.05,7,"EPH:PTEMP",2.8
"PTEMP","IP",4.44,9,"IP:PTEMP",2.8
"PTEMP","MNN",7.83,3,"MNN:PTEMP",2.8
"PTEMP","MT",6.62,6,"MT:PTEMP",2.8
"PTEMP","NC",5.17,3,"NC:PTEMP",2.8
"PTEMP","NDE",5.4,5,"NDE:PTEMP",2.8
