IP,ENEG,NDE,GRAPHENE,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,FLOWCELL,EC,CL,CPGC,EPH,TOF
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,3,4.338831104,0,0.5,0.5,1,7.3,3.012998116
7.69,1.9,10,1,0,0,1.19,7.050993443,4,50.16896598,22.47665696,1.068520983,340.5493228,700,2,5,0,0.1,0.5,1,6.8,1.849453243
7.83,1.83,6,0,0,0,1.366013249,3.644523348,3.9,42.82608696,14.64080544,0.95,513.05528,1100,1,10,0,0.1,0.4,1,6.8,3.099335529
7.83,1.83,6,0,1,0,6.98,0.83,3.36,70,20,1.052777327,104,900,1,6.234264733,0,0.1,0.8,1,6.8,1.697850548
7.61,1.91,8,0,0,0,1.45,12.69,2.7,67.13947991,21.19779354,1.035440774,824,900,4,3,0,1,2,1,8.8,3.000574534
7.81,1.88,7,0,0,0,7.381115826,3.036070894,4,48,10,3.01,1056.73628,800,3,5,0,0.5,1.291540442,0,7.2,0.52715321
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.006149234,224,900,1,6.50376851,0,0.1,0.8,1,6.8,3.097236677
7.83,1.83,6,0,0,1,0.15,3.26602758,5,10.92436975,17.64705882,1.26,1173,1000,2,5,0,0.1,1,1,6.8,3.586806307
7.61,1.91,8,0,0,0,1.53,4.674202544,3.2,34.77,8.53,0.98,720.7898989,1000,2,10,0,0.5,0.2,1,7.2,3.395086022
7.81,1.88,7,0,0,0,1.098371712,4.833477856,3.8,49.4,30,0.975127727,283,1050,1,6.432833635,0,0.1,0.8,0,6.7,2.191913696
7.61,1.91,8,0,0,0,2.14,4.929365706,4.3,35.693,18.241,1.477324878,1174,900,1,5,0,0.5,0.4,0,7.2,2.716557934
7.61,1.91,8,0,0,0,32,19.92,2,68.16499207,31.83500793,0.9,144.8,550,2,5,0,0.5,1,1,7.2,1.450407562
7.61,1.91,8,0,0,0,0.37,4.32,4.5,26.7,15.9,1.05,1220,800,5,2,0,0.5,0.255,0,7.2,4.085846407
7.61,1.91,8,0,0,0,1.79,2.5,3.5,56.42837118,28.21418559,1.066592428,214,650,2,10,1,0.5,2,1,7.2,3.134978193
7.61,1.91,8,0,1,0,1.2,3.36385693,8,40.89333061,5.241688762,2.3,1066,900,2,5,0,0.5,0.4,1,7.3,2.663865893
7.81,1.88,7,0,0,0,0.63,9.029628337,4,43.16,27.81,0.91,731.7803518,900,3,5.220839802,0,0.1,2,1,6.8,2.712376368
7.81,1.88,7,0,0,0,1.11,10.5,4,41.5,41.6,1.79,758,900,2,2,0,0.1,0.76,0,6.8,2.209812007
7.83,1.83,6,0,0,0,0.2,3.769611316,4.4,31.50900846,11.01142123,1.04,1014,1000,2,5,0,0.5,2,1,7.2,2.846736767
7.4,1.55,5,0,0,0,0.44,8.2,4,38,43.9,1.7,938,900,2,2,0,0.1,0.76,0,6.8,2.875647402
7.83,1.83,6,1,0,0,0.71,10.6,3.8,40.14181,11.84868,1.28,279,900,2,2,0,1,1,1,8.8,3.488964703
7.61,1.91,8,0,0,0,5.44,10.35,2.4,53.71980676,29.75845411,1.002435099,871,1000,4,3,0,1,2,1,8.8,2.6583887
7.61,1.91,8,0,0,0,1.99,5.2,3.5,58.22647272,28.95245106,1.707643396,1564,650,2,10,1,0.5,2,1,7.2,3.114809232
7.61,1.91,8,0,0,0,0.15,4.631660988,4,27.28388567,0,0.99,836.0900211,800,2.800065296,4.546046089,0,0.1,0.5,1,6.8,4.398524884
7.61,1.91,8,0,1,0,43.81577576,15.31728665,4,64.49250153,24.25824507,0.4,130,800,1,10,1,0.5,0.5,1,7.2,1.867635511
