"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"EC","MT",6.55930420711974,239,"MT:EC",6.178425
"EC","NC",6.81500809061489,174,"NC:EC",6.178425
"EC","NDE",6.83226732580758,148,"NDE:EC",6.178425
"EC","PTEMP",6.48625404530744,138,"PTEMP:EC",6.178425
"EC","PTIME",5.78014563106796,126,"PTIME:EC",6.178425
"EC","PYRID",6.83101132686084,168,"PYRID:EC",6.178425
"EC","PYRRO",7.46215210355987,175,"PYRRO:EC",6.178425
"EC","RAMAN",6.14679611650485,133,"RAMAN:EC",6.178425
"EC","RR",5.53346278317152,125,"RR:EC",6.178425
"ENEG","BET",7.43184466019417,147,"BET:ENEG",3.3810625
"ENEG","CL",7.85805825242719,141,"CL:ENEG",3.3810625
"ENEG","ENEG",7.78492482897055,220,"ENEG:ENEG",3.3810625
"ENEG","EPH",7.43236245954693,133,"EPH:ENEG",3.3810625
"ENEG","IP",7.56058504602194,184,"IP:ENEG",3.3810625
"ENEG","MNN",7.04106796116505,217,"MNN:ENEG",3.3810625
"ENEG","MT",7.11494336569579,196,"MT:ENEG",3.3810625
"ENEG","NC",7.20215210355987,123,"NC:ENEG",3.3810625
"ENEG","NDE",6.97048305854972,124,"NDE:ENEG",3.3810625
"ENEG","PTEMP",6.92971682847897,86,"PTEMP:ENEG",3.3810625
"ENEG","PTIME",6.26029126213592,83,"PTIME:ENEG",3.3810625
"ENEG","PYRID",7.32351132686084,107,"PYRID:ENEG",3.3810625
"ENEG","PYRRO",7.30827669902913,168,"PYRRO:ENEG",3.3810625
"ENEG","RAMAN",6.59436084142395,82,"RAMAN:ENEG",3.3810625
"ENEG","RR",6.12550161812298,81,"RR:ENEG",3.3810625
"EPH","BET",5.62666666666667,212,"BET:EPH",3.665
"EPH","CL",5.48568770226537,216,"CL:EPH",3.665
"EPH","ENEG",4.86508541231412,256,"ENEG:EPH",3.665
"EPH","EPH",6.18284789644013,179,"EPH:EPH",3.665
"EPH","IP",5.26786029504476,227,"IP:EPH",3.665
"EPH","MNN",5.24407766990291,253,"MNN:EPH",3.665
"EPH","MT",4.45148867313916,273,"MT:EPH",3.665
"EPH","NC",5.50084951456311,204,"NC:EPH",3.665
"EPH","NDE",6.00050115094836,157,"NDE:EPH",3.665
"EPH","PTEMP",5.70702265372168,161,"PTEMP:EPH",3.665
"EPH","PTIME",5.43226537216828,135,"PTIME:EPH",3.665
"EPH","PYRID",5.88565533980583,190,"PYRID:EPH",3.665
"EPH","PYRRO",5.65614886731392,209,"PYRRO:EPH",3.665
"EPH","RAMAN",5.0642071197411,165,"RAMAN:EPH",3.665
"EPH","RR",5.11982200647249,144,"RR:EPH",3.665
"IP","BET",7.35132686084142,146,"BET:IP",4.2081875
"IP","CL",7.11260517799353,155,"CL:IP",4.2081875
"IP","ENEG",7.24792921224038,218,"ENEG:IP",4.2081875
"IP","EPH",7.03009708737864,131,"EPH:IP",4.2081875
"IP","IP",7.30059261127222,194,"IP:IP",4.2081875
"IP","MNN",6.98919093851133,221,"MNN:IP",4.2081875
"IP","MT",6.99267799352751,204,"MT:IP",4.2081875
"IP","NC",7.33485436893204,121,"NC:IP",4.2081875
"IP","NDE",6.54570241826568,144,"NDE:IP",4.2081875
"IP","PTEMP",6.60880258899676,101,"PTEMP:IP",4.2081875
"IP","PTIME",6.20310679611651,77,"PTIME:IP",4.2081875
"IP","PYRID",7.32765372168285,123,"PYRID:IP",4.2081875
"IP","PYRRO",7.45860841423948,161,"PYRRO:IP",4.2081875
"IP","RAMAN",6.39577669902913,87,"RAMAN:IP",4.2081875
"IP","RR",5.89621359223301,91,"RR:IP",4.2081875
"MNN","BET",5.16142394822006,210,"BET:MNN",3.065
"MNN","CL",5.34008090614887,207,"CL:MNN",3.065
"MNN","ENEG",4.03337020195813,256,"ENEG:MNN",3.065
"MNN","EPH",5.69660194174757,174,"EPH:MNN",3.065
"MNN","IP",5.37509351489934,223,"IP:MNN",3.065
"MNN","MNN",4.61950647249191,252,"MNN:MNN",3.065
"MNN","MT",3.82697411003236,283,"MT:MNN",3.065
"MNN","NC",6.10474110032362,163,"NC:MNN",3.065
"MNN","NDE",5.6624705892346,161,"NDE:MNN",3.065
"MNN","PTEMP",5.79994336569579,126,"PTEMP:MNN",3.065
"MNN","PTIME",5.30189320388349,122,"PTIME:MNN",3.065
"MNN","PYRID",5.80316343042071,162,"PYRID:MNN",3.065
"MNN","PYRRO",5.11691747572816,212,"PYRRO:MNN",3.065
"MNN","RAMAN",5.64305825242718,131,"RAMAN:MNN",3.065
"MNN","RR",4.94606796116505,138,"RR:MNN",3.065
"MT","BET",4.74239482200647,214,"BET:MT",2.74
"MT","CL",4.56657766990291,222,"CL:MT",2.74
"MT","ENEG",3.05381180615296,276,"ENEG:MT",2.74
"MT","EPH",5.23867313915858,184,"EPH:MT",2.74
"MT","IP",4.18153238347413,247,"IP:MT",2.74
"MT","MNN",3.53161812297735,273,"MNN:MT",2.74
"MT","MT",2.77460355987055,290,"MT:MT",2.74
"MT","NC",5.05922330097087,189,"NC:MT",2.74
"MT","NDE",5.18810148731409,175,"NDE:MT",2.74
"MT","PTEMP",5.36947411003236,152,"PTEMP:MT",2.74
"MT","PTIME",4.82765372168285,150,"PTIME:MT",2.74
"MT","PYRID",5.59777508090615,164,"PYRID:MT",2.74
"MT","PYRRO",4.19288025889968,229,"PYRRO:MT",2.74
"MT","RAMAN",5.23071197411003,145,"RAMAN:MT",2.74
"MT","RR",4.43783171521036,155,"RR:MT",2.74
"NC","BET",3.99249190938511,245,"BET:NC",2.6375
"NC","CL",3.30648058252427,266,"CL:NC",2.6375
"NC","ENEG",2.86371717668264,283,"ENEG:NC",2.6375
"NC","EPH",4.25339805825243,231,"EPH:NC",2.6375
"NC","IP",3.89285083848191,253,"IP:NC",2.6375
"NC","MNN",2.43068770226537,298,"MNN:NC",2.6375
"NC","MT",2.47888349514563,299,"MT:NC",2.6375
"NC","NC",3.73516181229773,243,"NC:NC",2.6375
"NC","NDE",4.91296961666199,184,"NDE:NC",2.6375
"NC","PTEMP",4.09901294498382,211,"PTEMP:NC",2.6375
"NC","PTIME",4.18729773462783,184,"PTIME:NC",2.6375
"NC","PYRID",3.42627022653722,250,"PYRID:NC",2.6375
"NC","PYRRO",4.17578478964401,240,"PYRRO:NC",2.6375
"NC","RAMAN",3.81310679611651,209,"RAMAN:NC",2.6375
"NC","RR",3.90493527508091,184,"RR:NC",2.6375
"NDE","BET",8.08090614886731,134,"BET:NDE",5.6775375
"NDE","CL",7.87422330097087,147,"CL:NDE",5.6775375
"NDE","ENEG",7.92949080332637,215,"ENEG:NDE",5.6775375
"NDE","EPH",7.23381877022654,134,"EPH:NDE",5.6775375
"NDE","IP",8.25714285714286,177,"IP:NDE",5.6775375
"NDE","MNN",7.37430420711974,221,"MNN:NDE",5.6775375
"NDE","MT",8.13230582524272,182,"MT:NDE",5.6775375
"NDE","NC",7.3688430420712,120,"NC:NDE",5.6775375
"NDE","NDE",7.02690925770201,129,"NDE:NDE",5.6775375
"NDE","PTEMP",6.82911812297735,100,"PTEMP:NDE",5.6775375
"NDE","PTIME",6.2144498381877,86,"PTIME:NDE",5.6775375
"NDE","PYRID",7.64043689320388,103,"PYRID:NDE",5.6775375
"NDE","PYRRO",7.8888430420712,142,"PYRRO:NDE",5.6775375
"NDE","RAMAN",6.55306634304207,98,"RAMAN:NDE",5.6775375
"NDE","RR",6.04072815533981,88,"RR:NDE",5.6775375
"PTEMP","BET",5.16168284789644,226,"BET:PTEMP",3.705
"PTEMP","CL",4.68194174757282,245,"CL:PTEMP",3.705
"PTEMP","ENEG",3.7754946540494,276,"ENEG:PTEMP",3.705
"PTEMP","EPH",5.17783171521036,212,"EPH:PTEMP",3.705
"PTEMP","IP",4.89037952338923,246,"IP:PTEMP",3.705
"PTEMP","MNN",4.40547734627832,270,"MNN:PTEMP",3.705
"PTEMP","MT",3.2173786407767,297,"MT:PTEMP",3.705
"PTEMP","NC",4.74503236245955,223,"NC:PTEMP",3.705
"PTEMP","NDE",5.38332101691172,181,"NDE:PTEMP",3.705
"PTEMP","PTEMP",5.39205501618123,191,"PTEMP:PTEMP",3.705
"PTEMP","PTIME",4.8618284789644,158,"PTIME:PTEMP",3.705
"PTEMP","PYRID",5.01721682847896,213,"PYRID:PTEMP",3.705
"PTEMP","PYRRO",4.89068770226537,226,"PYRRO:PTEMP",3.705
"PTEMP","RAMAN",4.75754045307443,181,"RAMAN:PTEMP",3.705
"PTEMP","RR",4.70108414239482,158,"RR:PTEMP",3.705
"PTIME","BET",5.8336569579288,204,"BET:PTIME",4.5375
"PTIME","CL",5.57735436893204,226,"CL:PTIME",4.5375
"PTIME","ENEG",5.02818401540289,259,"ENEG:PTIME",4.5375
"PTIME","EPH",6.1247572815534,196,"EPH:PTIME",4.5375
"PTIME","IP",5.70108014962384,231,"IP:PTIME",4.5375
"PTIME","MNN",5.35729773462783,255,"MNN:PTIME",4.5375
"PTIME","MT",4.8818284789644,263,"MT:PTIME",4.5375
"PTIME","NC",5.52680420711974,196,"NC:PTIME",4.5375
"PTIME","NDE",6.04001562911432,164,"NDE:PTIME",4.5375
"PTIME","PTEMP",5.55690129449838,166,"PTEMP:PTIME",4.5375
"PTIME","PTIME",5.81556634304207,127,"PTIME:PTIME",4.5375
"PTIME","PYRID",5.52936893203884,199,"PYRID:PTIME",4.5375
"PTIME","PYRRO",5.88671521035599,203,"PYRRO:PTIME",4.5375
"PTIME","RAMAN",5.2659142394822,166,"RAMAN:PTIME",4.5375
"PTIME","RR",5.35844660194175,133,"RR:PTIME",4.5375
"PYRID","BET",3.51533980582524,257,"BET:PYRID",2.7075
"PYRID","CL",3.65277508090615,260,"CL:PYRID",2.7075
"PYRID","ENEG",2.88464216951374,284,"ENEG:PYRID",2.7075
"PYRID","EPH",4.00906148867314,241,"EPH:PYRID",2.7075
"PYRID","IP",3.67602235951751,253,"IP:PYRID",2.7075
"PYRID","MNN",2.22977346278317,309,"MNN:PYRID",2.7075
"PYRID","MT",2.19417475728155,309,"MT:PYRID",2.7075
"PYRID","NC",3.39202265372168,255,"NC:PYRID",2.7075
"PYRID","NDE",4.66195245011849,189,"NDE:PYRID",2.7075
"PYRID","PTEMP",4.00887540453074,222,"PTEMP:PYRID",2.7075
"PYRID","PTIME",4.04888349514563,198,"PTIME:PYRID",2.7075
"PYRID","PYRID",4.04740291262136,246,"PYRID:PYRID",2.7075
"PYRID","PYRRO",3.87847896440129,249,"PYRRO:PYRID",2.7075
"PYRID","RAMAN",4.04182038834951,208,"RAMAN:PYRID",2.7075
"PYRID","RR",3.65373786407767,196,"RR:PYRID",2.7075
"PYRRO","BET",4.25980582524272,240,"BET:PYRRO",3.215
"PYRRO","CL",4.42953883495146,236,"CL:PYRRO",3.215
"PYRRO","ENEG",3.02530826266847,285,"ENEG:PYRRO",3.215
"PYRRO","EPH",4.77233009708738,210,"EPH:PYRRO",3.215
"PYRRO","IP",4.46050519060228,241,"IP:PYRRO",3.215
"PYRRO","MNN",3.0296359223301,288,"MNN:PYRRO",3.215
"PYRRO","MT",2.47699029126214,305,"MT:PYRRO",3.215
"PYRRO","NC",4.2562783171521,233,"NC:PYRRO",3.215
"PYRRO","NDE",4.91907686296495,185,"NDE:PYRRO",3.215
"PYRRO","PTEMP",4.62107605177994,194,"PTEMP:PYRRO",3.215
"PYRRO","PTIME",4.53247572815534,172,"PTIME:PYRRO",3.215
"PYRRO","PYRID",4.81107605177993,216,"PYRID:PYRRO",3.215
"PYRRO","PYRRO",4.21895631067961,248,"PYRRO:PYRRO",3.215
"PYRRO","RAMAN",4.65504045307443,182,"RAMAN:PYRRO",3.215
"PYRRO","RR",4.21449838187702,181,"RR:PYRRO",3.215
"RAMAN","BET",4.33177993527508,238,"BET:RAMAN",3.415
"RAMAN","CL",4.27741909385113,242,"CL:RAMAN",3.415
"RAMAN","ENEG",3.25508172545164,285,"ENEG:RAMAN",3.415
"RAMAN","EPH",4.39902912621359,231,"EPH:RAMAN",3.415
"RAMAN","IP",3.84343294246207,261,"IP:RAMAN",3.415
"RAMAN","MNN",2.90962783171521,299,"MNN:RAMAN",3.415
"RAMAN","MT",2.52809870550162,302,"MT:RAMAN",3.415
"RAMAN","NC",4.00861650485437,244,"NC:RAMAN",3.415
"RAMAN","NDE",4.77590058524238,196,"NDE:RAMAN",3.415
"RAMAN","PTEMP",4.23842233009709,210,"PTEMP:RAMAN",3.415
"RAMAN","PTIME",4.37930420711974,178,"PTIME:RAMAN",3.415
"RAMAN","PYRID",4.36364886731392,230,"PYRID:RAMAN",3.415
"RAMAN","PYRRO",4.08437702265372,246,"PYRRO:RAMAN",3.415
"RAMAN","RAMAN",3.88006472491909,205,"RAMAN:RAMAN",3.415
"RAMAN","RR",3.8996925566343,196,"RR:RAMAN",3.415
"RR","BET",5.1515857605178,227,"BET:RR",4.2925
"RR","CL",5.01637540453074,237,"CL:RR",4.2925
"RR","ENEG",4.77832944164516,265,"ENEG:RR",4.2925
"RR","EPH",5.32686084142395,209,"EPH:RR",4.2925
"RR","IP",5.15338965241878,238,"IP:RR",4.2925
"RR","MNN",4.68700647249191,271,"MNN:RR",4.2925
"RR","MT",3.52927993527508,288,"MT:RR",4.2925
"RR","NC",5.18527508090615,209,"NC:RR",4.2925
"RR","NDE",6.17739894163715,160,"NDE:RR",4.2925
"RR","PTEMP",5.50883495145631,177,"PTEMP:RR",4.2925
"RR","PTIME",5.06553398058252,159,"PTIME:RR",4.2925
"RR","PYRID",5.56045307443366,205,"PYRID:RR",4.2925
"RR","PYRRO",5.28495954692557,222,"PYRRO:RR",4.2925
"RR","RAMAN",4.79196601941748,186,"RAMAN:RR",4.2925
"RR","RR",4.80788025889968,158,"RR:RR",4.2925
"ZIF","BET",7.62019417475728,162,"BET:ZIF",5.9835625
"ZIF","CL",7.71882686084142,168,"CL:ZIF",5.9835625
"ZIF","ENEG",7.02804473393142,231,"ENEG:ZIF",5.9835625
"ZIF","EPH",7.25809061488673,144,"EPH:ZIF",5.9835625
"ZIF","IP",7.38073382927752,201,"IP:ZIF",5.9835625
"ZIF","MNN",7.2253640776699,224,"MNN:ZIF",5.9835625
"ZIF","MT",7.35458737864078,216,"MT:ZIF",5.9835625
"ZIF","NC",6.70991909385113,163,"NC:ZIF",5.9835625
"ZIF","NDE",6.98979860527143,142,"NDE:ZIF",5.9835625
"ZIF","PTEMP",6.72902103559871,112,"PTEMP:ZIF",5.9835625
"ZIF","PTIME",6.05914239482201,104,"PTIME:ZIF",5.9835625
"ZIF","PYRID",6.65580097087379,160,"PYRID:ZIF",5.9835625
"ZIF","PYRRO",7.79139158576052,157,"PYRRO:ZIF",5.9835625
"ZIF","RAMAN",6.29594660194175,118,"RAMAN:ZIF",5.9835625
"ZIF","RR",6.19978964401294,98,"RR:ZIF",5.9835625
