Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Density at Maximum FE (mA/cm2),TOF Reported (h-1),CLCD@MFE
65.38,30,9.35,1.65,10,0,0,0,1,0,0,0,0.13,4.996471875,4,38.4,38.3,16.33,6.97,0.99,25.39,0,1000,1,1,0,0.5,4,177.8,1,1,7.3,88.67273,80.89949,58.14104,35.38259,12.62414,-0.44,-0.33,0.33,92.48,2.1081,2.94619,,,,10.44,6494,1
0,0,0,0,0,0,0,0,1,0,0,0,0,4.506810252,0,16.5,3.94,48.62,30.94,1.02,160,0,1000,1,1,0,0.5,4,177.8,1,1,7.3,41.66852,26.99198,9.5934,0.01,0.01,-0.54,-0.43,0.43,43.63,11.11556,12.48661,,,,2.1,,0
58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,1.410734555,1.362088536,4,62.47765463,20.96889524,12.93350018,3.619949946,0.944578467,513.8919597,0,800,1,10,0,0.5,1,177.8,1,1,7.3,,76.81196,87.83927,90.16221,81.45785,-0.77,-0.66,0.66,91.47,0.001,0.84512,2.12408,3.17874,3.72009,3.413,158.4,0
55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.5,4,45.13388569,21.55679635,25.67543228,7.633885687,1.02,1156.6,1,1000,3,4.16721831,0,1,1,177.8,1,1,8.8,94.65111,99.145598,94.819444,79.652656,64.485868,-0.58,-0.47,0.47,99.56643,2.66796,6.34645,9.46789,9.54262,9.61735,5.66,,0
55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.9,4,44.40184049,18.70398773,14.04141104,22.85276074,1.024,360.1,0,1000,3,3.538486409,0,1,1,177.8,1,1,8.8,54.773072,74.316512,73.143792,58.981388,44.818984,-0.68,-0.57,0.57,75.99984,0.41604,1.15309,1.94789,2.4302,2.91251,1.8,,0
78.69,34,9.5,2.55,0,0,0,1,0,0,0,0,1.31,3.8,4.2,26.65463297,0,57.85198556,15.49338147,1.01280346,645,0,1000,1,5,0,0.1,1,177.8,1,1.048851531,6.8,87.77463,89.70803,86.00462,80.36781,64.5194,-0.6,-0.49,0.49,89.70803,3.76557,9.29539,13.613,15.2647,17.69396,9.29539,,1
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,10.94354096,4,47.79195289,24.4357213,18.05691855,9.715407262,1.08,356,1,700,3,3,0,0.1,0.2,177.8,1,1,6.8,1.32268,6.88928,8.75051,6.42824,4.0206,-0.7,-0.59,0.59,8.75051,0.03698,0.075,0.14067,0.20634,0.20634,0.14067,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,7.785499333,4,51.32496513,15.34170153,26.08089261,7.252440725,1.06,626,1,800,3,3,0,0.1,0.2,177.8,1,1,6.8,26.7822,43.03804,47.3069,43.6869,34.56861,-0.7,-0.59,0.59,47.3069,0.25299,0.88375,1.75817,2.48225,2.89527,1.75817,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,5.051205294,4,42.3580786,10.91703057,39.30131004,7.423580786,1.02,779,1,900,3,3,0,0.1,0.2,177.8,1,1,6.8,36.15662,50.73907,54.35907,48.69001,43.96011,-0.7,-0.59,0.59,54.35907,0.41371,1.34343,2.52891,3.50702,4.4281,2.52891,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,3.012057865,4,32.8358209,8.208955224,49.25373134,9.701492537,1,1036,1,1000,3,3,0,0.1,0.2,177.8,1,1,6.8,44.5236,55.57142,61.97472,55.00793,48.04115,-0.7,-0.59,0.59,61.97472,0.51739,1.48513,3.04561,4.20172,5.24549,3.04561,,0
55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,0.85,4.880280135,4,62.40485252,31.76736441,5.827783064,0,0.955374521,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,51.16953,51.7647,53.77693,49.92252,41.90196,-0.6,-0.49,0.49,51.7647,2.43427,4.09613,8.2937,14.19213,17.96838,4.09613,,0
58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.84,5.863920513,4,32.10984231,48.54540511,19.34475258,0,1.005945963,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,61.03719,71.23878,70.24505,61.70622,48.17275,-0.6,-0.49,0.49,71.23878,0.91477,2.52442,5.151,8.2134,9.00369,2.52442,,0
55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.68,6.008965758,4,42.58216577,46.53659814,10.88123609,0,0.992404929,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,59.24121,49.33421,19.24404,8.62405,7.14285,-0.5,-0.39,0.39,59.24121,0.47313,0.56611,0.001,0.43827,0.63003,0.47313,,0
55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,3.796292065,9.106835458,4,55.4,23.6,15.8,5.2,1.04,514.4677186,1,700,2,2,0,0.5,2.5,177.8,1,1,7.2,84.42597,77.22195,70.3651,56.32594,38.14229,-0.45,-0.34,0.34,86.31,2.533403852,4.078060291,5.631501902,6.395123311,5.68399457,1.688832919,,0
55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,2.025858001,4.954544025,4,37.2,21.4,32.2,9.1,0.99,632.92808,1,800,2,2,0,0.5,2.5,177.8,1,1,7.2,77.46063,70.84248,63.39977,50.31535,33.67232,-0.45,-0.34,0.34,80.52,1.594449608,2.752159506,3.95292494,4.787832602,4.250073089,1.192381796,,0
55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,0.045597407,6.634422786,4,38,18.9,31.7,11.4,0.97,624.1757222,1,900,2,2,0,0.5,2.5,177.8,1,1,7.2,78.76257,67.30556,50.77103,33.78081,22.69269,-0.45,-0.34,0.34,83.36,0.915693639,1.933533936,2.616221022,2.703566054,2.476158255,0.664176148,,0
65.38,30,9.35,1.65,10,0,0,0,0,0,0,1,0.34,1.671331215,4.2,58.91,23.11,17.98,0,2.49,2176.56,1,900,2,5,0,0.5,1,127,1,1,7.2,94.94135,88.80344,80.34131,74.38344,68.42557,-0.44,-0.33,0.33,96.02,5.29943,10.25314,14.78413,19.20284,23.62155,2.6,1501,0
58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,4.05,9.6,4,63.87902162,15.5384147,7.134882777,13.44768091,1.032877833,648,1,800,1,3,1,1,0.25,177.8,1,1.0195307,13.8,97.48132,96.58877,95.69622,94.80367,93.91112,-0.3,-0.19,0.19,99.10414,374.1658,,,,,140.20478,,2
0,0,0,0,0,0,0,0,0,0,0,1,0,1.23,0,27.99,51.79,10.93,9.29,1.359341797,2801,1,900,2,5,0,0.5,0.857069373,177.8,1,1,7.2,0.926339,1.658398,3.2942,4.18602,2.838751,-0.77,-0.66,0.66,4.58,,,,,,0.32,,0
58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.62,6.72,4,42.68,35.41,14.67,7.24,1.492415018,1535,1,900,2,5,0,0.5,1.06507923,177.8,1,1,7.2,74.718571,92.383302,96.868634,96.546718,86.452928,-0.77,-0.66,0.66,98.1,,,,,,20.9,1900,2
58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.63,4.67,4,48.72,34.7,10.26,6.32,1.063060347,103,1,900,2,5,0,0.5,0.701392981,177.8,1,1,7.2,60.027361,61.152868,38.463895,29.183239,22.644809,-0.57,-0.46,0.46,69.8,,,,,,1.08,103,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.15,4.631660988,4,27.28388567,0,62.07259337,10.64352095,0.99,836.0900211,1,800,2.800065296,4.546046089,0,0.1,0.5,177.8,1,0.5,6.8,5.18037,15.679,46.14134,71.00078,78.69797,-0.9,-0.79,0.79,78.69797,0.55897,1.68954,4.3307,10.11654,17.14696,17.14696,,1
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.15,5.005154666,2.552,42.39715965,0,46.54750245,11.0553379,1.01,549.520729,1,900,1.725938974,4.935307124,0,0.1,0.5,177.8,1,0.5,6.8,13.33009,40.97918,69.66114,79.16882,84.35964,-0.9,-0.79,0.79,84.35964,1.38552,2.98162,6.76284,15.54137,20.19665,20.19665,,2
58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.2,1.11,8,25.43142598,3.633060854,61.21707539,9.718437784,1.02,318.0000421,1,800,2.5,5,0,0.1,0.675492526,177.8,1,1,6.8,28.29689,35.98599,33.04681,35.98599,33.04681,-0.6,-0.49,0.49,35.98599,0.310694193,0.893762442,1.574511958,2.842061934,4.10961191,0.893762442,,0
58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.15,1.03,8,26.11650485,3.203883495,58.54368932,12.13592233,1.07,308.4339694,1,900,2.5,5,0,0.1,0.729393284,177.8,1,1,6.8,33.7816,40.7359,45.11843,45.48582,45.11843,-0.8,-0.69,0.69,45.48582,0.327482209,0.895346567,1.979941087,3.368161291,4.756381495,3.368161291,,0
58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.25,0.83,8,22.27848101,0,64.6835443,13.03797468,1.14,554.9701951,1,1000,2.5,5,0,0.1,0.850949434,177.8,1,1,6.8,48.7924,60.49662,61.23141,59.39443,57.55745,-0.7,-0.59,0.59,61.23141,0.359155977,1.094904127,2.417330343,4.082731542,5.748132741,2.417330343,,0
55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.58,8.905813337,6,50.62,35.84,13.54,0,1.02,622.677809,0,800,6,5,0,1,0.75,127,1,4,13.8,90.259415,79.08205,64.305655,51.987465,44.028855,-0.35,-0.24,0.24,96.05,6.04996,6.869395,6.84934,6.49406,6.029905,3.07,748,0
55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.57,9.451166446,5,63.87,27.05,9.08,0,0.99,730.236858,0,900,6,5,0,1,0.75,127,1,4,13.8,97.25375,93.464585,85.139285,74.342195,62.784555,-0.35,-0.24,0.24,98.28,11.00382,15.691225,18.100825,19.229695,20.35857,3.33,796,0
58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.011,4.709943213,3.6,44.74,34.78,12.01,8.47,1.027155236,24,1,500,1,5,1,0.5,0.7,177.8,0,5,3.9,41.59163,71.10524,97.55488,98.18338,97.37156,-0.8,-0.69,0.69,98.18338,0.10405,0.92725,2.4555,6.22088,9.42603,6.22088,53207,0
58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.011,4.709943213,3.6,44.74,34.78,12.01,8.47,1.024677865,24,1,500,1,5,1,0.5,0.7,177.8,0,5,7.2,88.89656,89.90464,79.12602,73.74963,64.3668,-0.6,-0.49,0.49,89.90464,0.36483,1.2432,2.0147,3.66456,4.33253,1.2432,42103,0
0,0,0,0,0,0,1,0,1,0,0,0,0,4.09,0,29,28,43,0,0.96,368,1,1000,2,2,0,0.5,1,127,1,1,7.3,38.60232,52.69065,73.70526,70.96422,54.78327,-0.7,-0.59,0.59,73.70526,0.001,0.02323,0.05403,0.10023,0.17584,0.05403,,0
58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,0.44,4.42,4,50,21,22,7,0.91,274,1,800,2,2,0,0.5,1,127,1,1,7.3,38.10127,73.38105,86.05465,90.21042,92.15567,-0.9,-0.79,0.79,92.15567,0.06943,0.16884,0.45726,0.76249,1.10551,1.10551,,0
58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,0.75,3.96,4,49,18,27,6,0.94,263,1,900,2,2,0,0.5,1,127,1,1,7.3,50.62751,86.52623,92.30304,94.86723,94.54302,-0.8,-0.69,0.69,94.86723,0.07043,0.16984,0.45826,0.76349,1.10651,0.76349,,0
58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.03,2.91,4,41,24,35,0,0.87,91,1,100,2,2,0,0.5,1,127,1,1,7.3,70.96422,92.15567,95.98722,98.07984,96.78301,-0.8,-0.69,0.69,98.07984,0.12964,0.45026,1.37993,2.38521,3.24488,2.38521,,0
107.868,47,7.54,1.93,10,1,1,0,0,0,0,0,0.088,10.24527815,2,53.84,26.37,19.78,0,1.02,945.7,1,1000,1,4.627639628,0,0.1,0.797946442,25,1,0.710558979,6.8,72.76348,66.87029,60.9771,55.08391,49.19072,-0.37,-0.26,0.26,94.14,3.98433,6.60101,9.21769,11.83437,14.45105,1.84868,,0
107.868,47,7.54,1.93,10,1,1,0,0,0,0,0,0.096,9.496574089,3,51.16,30.23,18.6,0,1.04,1226,1,1000,1,4.458093109,0,0.1,0.858399521,25,1,0.743583123,6.8,84.6758,69.06,53.4442,37.8284,22.2126,-0.41,-0.3,0.3,85.1,6.45242,9.0691,11.68578,14.30246,16.91914,2.42,,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2.74,0,25.19962667,13.87534999,47.81706938,13.10795396,1.02,1044,0,1000,4,3.975335503,0,0.5,1,177.8,1,1,7.3,0.01,0.01,23.83068,56.63338,23.83068,-0.8,-0.69,0.69,56.63338,,,,1.3565,0.86107,1.3565,,0
58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.46,3.05,4.13,29.47316941,10.28352081,54.66582749,5.383555279,1.03,614,0,1000,4,3.69362502,0,0.5,0.217391304,177.8,1,1,7.3,92.62949,94,92.62949,91.22439,94.16233,-0.9,-0.79,0.79,94.16233,0.001,2.73455,5.6278,9.50786,14.33855,14.33855,15767,1
58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1.23,3.23,6,28.82242686,13.22961927,48.81006802,9.046181589,1.02,612,0,1000,4,3.524884611,0,0.5,0.081300813,177.8,1,1,7.3,58.60051,69.15154,79.70257,90.2536,79.70257,-0.8,-0.69,0.69,90.2536,,,,4.00705,5.26489,4.00705,,0
58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,3.49,2.16,10.36,31.58754345,23.41411902,30.19736157,12.26197513,1,352,0,1000,4,3.87016356,0,0.5,0.028653295,177.8,1,1,7.3,0.01,0.01,0.01,2.70309,7.02058,-0.9,-0.79,0.79,7.02058,,,,,0.06838,0.06838,,0
118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,5.337353956,4.3,26.31,8.65,56.71,8.31,1.05079626,581.3,0,950,2,4.93563137,0,0.1,1,177.8,1,1,6.8,84.18591,92.89862,93.67807,92.40932,84.95267,-0.75,-0.64,0.64,95.2,0.942890611,3.396903069,6.288580736,9.572053075,13.64689036,7.85955016,,0
118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,6.024113819,4.3,26.31,8.65,56.71,8.31,1.074370558,581.3,0,950,2,4.530246928,1,1,1,177.8,1,0.5,8.8,91.38459,93.21487,91.2557,91.66816,91.2557,-0.55,-0.44,0.44,93.5,26.32333115,71.71043253,98.69633388,137.7582967,176.8202595,51.2754,,2
118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,6.01915629,4.3,26.31,8.65,56.71,8.31,1.086302326,581.3,0,950,2,4.586115784,1,1,1,177.8,1,0.5,13.8,93.36954,92.51885,91.66816,90.81747,89.96678,-0.3,-0.19,0.19,93.62732,103.2714077,171.1471789,239.0229501,306.8987213,374.7744925,39.47214522,,2
0,0,0,0,0,0,0,1,0,0,0,0,0,13.86921215,4,38.6,3.1,58.2,0,0.99,438.8,0,850,2,1,0,0.5,1.5,177.8,1,1,7.2,46.08985,60.31424,46.08985,34.34739,24.90005,-0.6,-0.49,0.49,60.31424,1.51741,2.11451,2.71161,3.1583,3.52749,2.114,,0
112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,18.4,14.72554628,4,64,4.8,31.2,0,1.07,303,0,850,0.0833,1,0,0.5,1.5,177.8,1,1,7.2,90.19405,90.86031,91.52657,88.92399,84.73904,-0.73,-0.62,0.62,91.42247,0.76439,2.59437,4.42435,7.00083,10.36646,5.00449,,0
112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,6.7,11.03143536,4,57.3,5.1,37.6,0,0.98,510.5,0,850,1,1,0,0.5,1.5,177.8,1,1,7.2,70.60183,71.26809,71.93435,69.33177,66.06293,-0.73,-0.62,0.62,72.05928,0.8497,2.40668,3.96366,5.95574,9.09102,4.56512,,0
112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,3.5,9.442286651,4,49.2,4.9,45.9,0,0.93,615.9,0,850,2,1,0,0.5,1.5,177.8,1,1,7.2,61.85716,62.08619,62.31522,60.17069,56.31887,-0.73,-0.62,0.62,62.77327,0.83263,2.17633,3.52003,5.42253,8.3232,3.93806,,0
58.693,28,7.61,1.91,8,0,1,1,1,0,0,0,0.5,2.82,3,18.70089052,53.61445783,14.33996857,13.34468308,1.115415125,458,1,1000,2,5,0,0.5,1,177.8,1,1,7.2,36.39653,84.08442,92.90485,94.34439,90.07813,-0.8,-0.69,0.69,94.34439,0.6192,2.04571,4.26889,7.7892,10.86352,7.7892,1083,0
