Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.5,2.82,3.4,25.18703242,54.76309227,0,20.04987531,0.97,1309.3,0,1000,1,7.142728997,0,0.1,0.833,177.8,1,0.3,6.8,58.88,73.27,87.66,92.23,91.78,-0.86,-0.75,0.75,92.74,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.86,5.03,3.4,30.59753546,46.43106254,0,22.971402,0.97,1009.2,0,1000,1,7.677760104,0,0.1,0.833,177.8,1,0.3,6.8,74.69,82.66,90.63,93.66,94.86,-0.86,-0.75,0.75,95.95,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,4.26,3.49,3.4,33.12115891,44.35908692,0,22.51975417,0.97,912.8,0,1000,1,7.628880694,0,0.1,0.833,177.8,1,0.3,6.8,81.99,87.04,92.09,93,92.72,-1.06,-0.95,0.95,93.75,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,32.03,5.94,7.1,39.73561431,46.98289269,0,13.281493,0.93,435.9,0,1000,1,10.6608795,0,0.1,0.833,177.8,1,0.3,6.8,21.074,45.72,70.366,80.85,84.55,-0.86,-0.75,0.75,86.65,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,14.18,4.72,7.1,42.27991411,38.3954714,0,19.32461448,0.93,500.8,0,1000,1,9.91605894,0,0.1,0.833,177.8,1,0.3,6.8,60.85,71.01,81.17,83.57,86.33,-1.06,-0.95,0.95,86.15,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.86,5.03,3.4,30.59753546,46.43106254,0,22.971402,0.97,1009.2,0,1000,1,7.953467365,0,0.5,0.833,177.8,1,0.3,7.2,81.6,83.53,85.46,91.81,88.48,-0.86,-0.75,0.75,93.42,1,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,17.8,0,52.00232,22.44999,23.91557,1.63212,1.154804692,406,0,900,2,2,0,0.1,1,177.8,1,1,6.8,30,31.59,25.83,21.29,18,-0.66,-0.55,0.55,34.71,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,10.8,0,38.54599,11.12816,44.568,5.75785,1.176213884,258,0,900,2,2,0,0.1,1,177.8,1,1,6.8,45.6,37.62,26.7,24.29,14.94,-0.66,-0.55,0.55,45.62,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,0.74,20.4,4.2,50.62483,13.84702,30.35359,5.17456,1.28,382,0,900,2,2,0,0.1,1,177.8,1,1,6.8,71.13,60.88,47.74,36.31,30.53,-0.46,-0.35,0.35,71.86,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,0.71,10.6,3.8,40.14181,11.84868,44.99145,3.01806,1.28,279,0,900,2,2,0,0.1,1,177.8,1,1,6.8,70.39,76.7,87.17,91.4,88.85,-0.76,-0.65,0.65,91.58,1,0,1
