Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
none,0,0,0,0,0,0,0,0,0,1,0,0,0,24.65026532,0,38.11,52.4,9.49,0,1,475.65,1,800,2,5.381331393,0,0.5,1,177.8,0,0.2,7.2,0.01,0.25746,0.54504,0.41432,0.12674,-0.73,-0.62,0.62,1.25,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,6.665028564,16.67332146,4,33.9,58.9,7.21,0,1.01,635.15,1,800,2,6.011199938,0,0.5,1,177.8,0,0.2,7.2,14.34921,91.71004,14.34921,5.09414,1.4078,-0.57,-0.46,0.46,95,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,11.9199485,17.02996079,4,42.07,50.81,7.12,0,1.02,720.81,1,800,2,5.97572396,0,0.5,1,177.8,0,0.2,7.2,37.95746,97.40948,37.95746,13.9309,5.38173,-0.57,-0.46,0.46,95,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,7.207207207,15.05791506,4,36.22,56.65,7.14,0,1.04,612.94,1,800,2,5.950476851,0,0.5,1,177.8,0,0.2,7.2,19.47348,49.19949,19.47348,8.51904,3.52549,-0.53,-0.42,0.42,95,1,1,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,8.553881483,0,51.8317692,36.44768856,11.72054223,0,1.167390528,493.8120933,1,900,1,3,0,0.1,0.380964268,177.8,0,1,6.8,4.48,6.87,4.48,4.69,4.99,-0.59,-0.48,0.48,7.53,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,4.7,6.24011097,4,44.78981241,39.10036971,16.10981788,0,1.267342709,530.2670537,1,900,1,3,0,0.1,0.346793441,177.8,0,1,6.8,26.03365,50.57522,66.86241,75.44919,80.40736,-0.89,-0.78,0.78,80.71,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.575564413,3.682605258,4,49.87206,38.70668,11.42126,0,1.400152352,926.5577653,1,700,0.5,2,0,0.5,0.634673102,127,1,1.070833468,7.2,41.58,42.28,42.98,42.28,31.19,-0.76,-0.65,0.65,46.13,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,4.468391032,4.86656449,4,45.18061,42.3732,12.44619,0,1.372018598,896.4966161,1,700,0.5,2,0,0.5,0.746746139,127,1,1.060481831,7.2,21.16,31.57,41.98,52.39,43.21,-0.76,-0.65,0.65,57.22,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,3.531120796,5.609565315,4,46.95443,41.72056,11.32501,0,1.372962626,826.700258,1,700,0.5,2,0,0.5,0.757590188,127,1,1.077087369,7.2,11.718472,21.590498,31.462524,41.33455,31.706278,-0.76,-0.65,0.65,50,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,5.744624203,5.349955365,4,56.65582,33.72075,9.62343,0,1.169174915,695.8306577,1,600,0.5,2,0,0.5,0.618533518,127,1,1.087127667,7.2,33.631934,34.643512,35.65509,34.643512,25.295552,-0.76,-0.65,0.65,39.84,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,5.298932328,3.587818764,4,45.18673,41.38251,13.43076,0,1.413324214,981.8255821,1,800,0.5,2,0,0.5,0.882551619,127,1,0.966023496,7.2,24.018978,28.953692,33.888406,38.82312,29.285956,-0.76,-0.65,0.65,42.19,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.244,2.27,3.9,61.23348018,26.43171806,12.33480176,0,1,1515,0,1000,1,5,0,0.1,1,25,1,1.155350545,8,43.74587,64.78069,85.1621,81.59347,63.54926,-0.75,-0.64,0.64,90.77,1,0,1
Co,58.93,27,7.81,1.88,7,0,0,1,0,0,0,0,0.251,2.29,4,54.14847162,27.94759825,17.90393013,0,1,1575,0,1000,1,5,0,0.1,1,25,1,1.165743827,8,61.91573,64.25294,60.40786,42.36366,24.31946,-0.58,-0.47,0.47,66.28,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.121,3.03,4.2,57.42574257,27.06270627,15.51155116,0,1.04,1585,0,1000,1,5,0,0.1,1,25,1,1.142379513,8,96.37062,95.54129,88.98204,76.81854,64.65504,-0.48,-0.37,0.37,96.64,1,1,0
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.237,2.4,3,25,8.75,45,21.2,1.052090121,215,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,93.96553,96.04346,98.12139,98.46508,97.563,-0.8,-0.69,0.69,98.46508,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.199,2.81,3.5,25.5,2.83,50.9,20.8,1.019782918,57,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,57.26274,74.17949,91.09624,92.4044,87.17828,-0.8,-0.69,0.69,92.4044,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.085,3.2,4,21.7,4.2,50.3,23.8,1.019350133,20,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,0.01,29.35955,78.98297,87.20602,81.54915,-0.8,-0.69,0.69,87.20602,0,0,1
none,0,0,0,0,0,0,0,0,1,0,1,0,0,2.33,0,25.4,3.39,52.5,18.6,1.018004948,373,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,0.22274,0.32825,0.43376,4.41747,2.30757,-0.8,-0.69,0.69,4.41747,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,3.77,18.01518053,4.1,59.47159385,32.72319116,7.805214989,0,1.037799047,434.761263,0,700,2,5,0,0.5,1,177.8,1,1,7.3,69.00245,83.34267,98.48817,97.65191,77.27208,-0.7,-0.59,0.59,98.48817,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,5.49,19.35840708,4.1,50.44396448,34.38924886,15.16678666,0,1.032048126,472.9299384,0,700,2,5,0,0.5,1,177.8,1,1,7.3,81.29849,92.41758,85.01518,59.24615,41.87064,-0.6,-0.49,0.49,92.41758,1,0,0
Cu,63.546,29,7.69,1.9,10,0,0,0,0,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,18.14946619,5.094587001,1.068665599,601.6931657,0,700,2,5,0,0.5,1,177.8,1,1,7.3,19.13691,37.3177,28.73835,23.68985,18.79621,-0.6,-0.49,0.49,37.3177,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,0,1,3.69,12.47168957,3.8,40.82882883,33.94594595,17.98198198,7.243243243,1.048932249,665.9105978,0,700,2,5,0,0.5,1,177.8,1,1,7.3,14.7698,23.19429,21.98637,18.79621,7.52226,-0.6,-0.49,0.49,23.19429,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,3.27626261,5.223880597,12,46.5,25.6,17.6,10.3,1.03,156.6,0,800,2,6.241879871,0,0.5,0.25,177.8,0,1,7.4,10.09915,34.85625,57.84109,74.74571,84.83396,-0.9,-0.79,0.79,84.83396,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,2.4,6.691455747,4,48.1,15.2,27.9,8.8,1.01,210,0,800,2,5.977766973,0,0.5,0.25,177.8,0,1,7.4,39.73678,89.57816,97.73055,98.19407,98.03047,-0.8,-0.69,0.69,98.19407,1,1,1
Zn,65.38,30,9.35,1.65,10,0,0,0,1,0,0,0,0.13,4.996471875,4,38.4,38.3,16.33,6.97,0.99,25.39,0,1000,1,1,0,0.5,4,177.8,1,1,7.3,88.67273,80.89949,58.14104,35.38259,12.62414,-0.44,-0.33,0.33,92.48,1,0,0
none,0,0,0,0,0,0,0,0,1,0,0,0,0,4.506810252,0,16.5,3.94,48.62,30.94,1.02,160,0,1000,1,1,0,0.5,4,177.8,1,1,7.3,41.66852,26.99198,9.5934,0.01,0.01,-0.54,-0.43,0.43,43.63,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,1.410734555,1.362088536,4,62.47765463,20.96889524,12.93350018,3.619949946,0.944578467,513.8919597,0,800,1,10,0,0.5,1,177.8,1,1,7.3,,76.81196,87.83927,90.16221,81.45785,-0.77,-0.66,0.66,91.47,1,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.5,4,45.13388569,21.55679635,25.67543228,7.633885687,1.02,1156.6,1,1000,3,4.377526917,0,0.1,1,177.8,1,1,6.8,96.827642,99.203316,96.22084,89.305618,82.390396,-0.58,-0.47,0.47,99.57541,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.5,4,45.13388569,21.55679635,25.67543228,7.633885687,1.02,1156.6,1,1000,3,4.396268341,0,0.5,1,177.8,1,1,7.2,96.318156,99.025858,95.219048,84.628686,74.038324,-0.58,-0.47,0.47,99.4323,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.5,4,45.13388569,21.55679635,25.67543228,7.633885687,1.02,1156.6,1,1000,3,4.16721831,0,1,1,177.8,1,1,8.8,94.65111,99.145598,94.819444,79.652656,64.485868,-0.58,-0.47,0.47,99.56643,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.9,4,44.40184049,18.70398773,14.04141104,22.85276074,1.024,360.1,0,1000,3,3.714873143,0,0.1,1,177.8,1,1,6.8,74.369248,91.09512,83.07741,77.990606,72.903802,-0.58,-0.47,0.47,92.85648,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.9,4,44.40184049,18.70398773,14.04141104,22.85276074,1.024,360.1,0,1000,3,3.71892041,0,0.5,1,177.8,1,1,7.2,66.032152,81.095294,76.13061,66.952758,57.774906,-0.58,-0.47,0.47,81.88908,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.2,2.9,4,44.40184049,18.70398773,14.04141104,22.85276074,1.024,360.1,0,1000,3,3.538486409,0,1,1,177.8,1,1,8.8,54.773072,74.316512,73.143792,58.981388,44.818984,-0.68,-0.57,0.57,75.99984,0,0,1
Se,78.69,34,9.5,2.55,0,0,0,1,0,0,0,0,1.31,3.8,4.2,26.65463297,0,57.85198556,15.49338147,1.01280346,645,0,1000,1,5,0,0.1,1,177.8,1,1.048851531,6.8,87.77463,89.70803,86.00462,80.36781,64.5194,-0.6,-0.49,0.49,89.70803,0,0,0
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,10.94354096,4,47.79195289,24.4357213,18.05691855,9.715407262,1.08,356,1,700,3,3,0,0.1,0.2,177.8,1,1,6.8,1.32268,6.88928,8.75051,6.42824,4.0206,-0.7,-0.59,0.59,8.75051,0,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,7.785499333,4,51.32496513,15.34170153,26.08089261,7.252440725,1.06,626,1,800,3,3,0,0.1,0.2,177.8,1,1,6.8,26.7822,43.03804,47.3069,43.6869,34.56861,-0.7,-0.59,0.59,47.3069,0,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,5.051205294,4,42.3580786,10.91703057,39.30131004,7.423580786,1.02,779,1,900,3,3,0,0.1,0.2,177.8,1,1,6.8,36.15662,50.73907,54.35907,48.69001,43.96011,-0.7,-0.59,0.59,54.35907,0,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,1.6,3.012057865,4,32.8358209,8.208955224,49.25373134,9.701492537,1,1036,1,1000,3,3,0,0.1,0.2,177.8,1,1,6.8,44.5236,55.57142,61.97472,55.00793,48.04115,-0.7,-0.59,0.59,61.97472,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,0.85,4.880280135,4,62.40485252,31.76736441,5.827783064,0,0.955374521,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,51.16953,51.7647,53.77693,49.92252,41.90196,-0.6,-0.49,0.49,51.7647,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.84,5.863920513,4,32.10984231,48.54540511,19.34475258,0,1.005945963,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,61.03719,71.23878,70.24505,61.70622,48.17275,-0.6,-0.49,0.49,71.23878,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.68,6.008965758,4,42.58216577,46.53659814,10.88123609,0,0.992404929,819,0,800,1,10,0,0.5,1,177.8,1,1,7.2,59.24121,49.33421,19.24404,8.62405,7.14285,-0.5,-0.39,0.39,59.24121,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,3.796292065,9.106835458,4,55.4,23.6,15.8,5.2,1.04,514.4677186,1,700,2,2,0,0.5,2.5,177.8,1,1,7.2,84.42597,77.22195,70.3651,56.32594,38.14229,-0.45,-0.34,0.34,86.31,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,2.025858001,4.954544025,4,37.2,21.4,32.2,9.1,0.99,632.92808,1,800,2,2,0,0.5,2.5,177.8,1,1,7.2,77.46063,70.84248,63.39977,50.31535,33.67232,-0.45,-0.34,0.34,80.52,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,0.045597407,6.634422786,4,38,18.9,31.7,11.4,0.97,624.1757222,1,900,2,2,0,0.5,2.5,177.8,1,1,7.2,78.76257,67.30556,50.77103,33.78081,22.69269,-0.45,-0.34,0.34,83.36,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,0,1,0.34,1.760922176,4.2,53.73,26.23,20.04,0,2.51,2176.56,1,900,1,5,0,0.5,1,127,1,1,7.2,83.99132,77.13322,67.96727,59.86523,51.76319,-0.44,-0.33,0.33,86.13,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,0,1,0.34,1.671331215,4.2,58.91,23.11,17.98,0,2.49,2176.56,1,900,2,5,0,0.5,1,127,1,1,7.2,94.94135,88.80344,80.34131,74.38344,68.42557,-0.44,-0.33,0.33,96.02,1,1,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,0,1,0.34,2.520927701,4.2,57.63,29.46,12.91,0,2.47,2176.56,1,900,3,5,0,0.5,1,127,1,1,7.2,88.98349,81.58526,70.19329,61.28923,52.38517,-0.44,-0.33,0.33,91.74,1,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,4.05,9.6,4,63.87902162,15.5384147,7.134882777,13.44768091,1.032877833,648,1,800,1,3,1,1,0.25,177.8,1,1.0195307,13.8,97.48132,96.58877,95.69622,94.80367,93.91112,-0.3,-0.19,0.19,99.10414,1,1,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,1.23,0,27.99,51.79,10.93,9.29,1.359341797,2801,1,900,2,5,0,0.5,0.857069373,177.8,1,1,7.2,0.926339,1.658398,3.2942,4.18602,2.838751,-0.77,-0.66,0.66,4.58,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.62,6.72,4,42.68,35.41,14.67,7.24,1.492415018,1535,1,900,2,5,0,0.5,1.06507923,177.8,1,1,7.2,74.718571,92.383302,96.868634,96.546718,86.452928,-0.77,-0.66,0.66,98.1,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.63,4.67,4,48.72,34.7,10.26,6.32,1.063060347,103,1,900,2,5,0,0.5,0.701392981,177.8,1,1,7.2,60.027361,61.152868,38.463895,29.183239,22.644809,-0.57,-0.46,0.46,69.8,0,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.15,4.631660988,4,27.28388567,0,62.07259337,10.64352095,0.99,836.0900211,1,800,2.800065296,4.546046089,0,0.1,0.5,177.8,1,0.5,6.8,5.18037,15.679,46.14134,71.00078,78.69797,-0.9,-0.79,0.79,78.69797,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.15,5.005154666,2.552,42.39715965,0,46.54750245,11.0553379,1.01,549.520729,1,900,1.725938974,4.935307124,0,0.1,0.5,177.8,1,0.5,6.8,13.33009,40.97918,69.66114,79.16882,84.35964,-0.9,-0.79,0.79,84.35964,0,0,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.2,1.11,8,25.43142598,3.633060854,61.21707539,9.718437784,1.02,318.0000421,1,800,2.5,5,0,0.1,0.675492526,177.8,1,1,6.8,28.29689,35.98599,33.04681,35.98599,33.04681,-0.6,-0.49,0.49,35.98599,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.15,1.03,8,26.11650485,3.203883495,58.54368932,12.13592233,1.07,308.4339694,1,900,2.5,5,0,0.1,0.729393284,177.8,1,1,6.8,33.7816,40.7359,45.11843,45.48582,45.11843,-0.8,-0.69,0.69,45.48582,0,0,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,2.25,0.83,8,22.27848101,0,64.6835443,13.03797468,1.14,554.9701951,1,1000,2.5,5,0,0.1,0.850949434,177.8,1,1,6.8,48.7924,60.49662,61.23141,59.39443,57.55745,-0.7,-0.59,0.59,61.23141,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2,9.277295795,4,88.45875543,5.76803804,1.240438288,4.532768245,1.010110555,321.0653725,1,500,1.33,60,0,0.5,1,177.8,1,0.49,7.3,85.41866,94.70703,94.70703,93.96183,61.30616,-0.6,-0.49,0.49,94.70703,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.58,8.905813337,6,50.62,35.84,13.54,0,1.02,622.677809,0,800,6,5,0,1,0.75,127,1,4,13.8,90.259415,79.08205,64.305655,51.987465,44.028855,-0.35,-0.24,0.24,96.05,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.57,9.451166446,5,63.87,27.05,9.08,0,0.99,730.236858,0,900,6,5,0,1,0.75,127,1,4,13.8,97.25375,93.464585,85.139285,74.342195,62.784555,-0.35,-0.24,0.24,98.28,1,1,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.011,4.709943213,3.6,44.74,34.78,12.01,8.47,1.027155236,24,1,500,1,5,1,0.5,0.7,177.8,0,5,3.9,41.59163,71.10524,97.55488,98.18338,97.37156,-0.8,-0.69,0.69,98.18338,1,1,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.011,4.709943213,3.6,44.74,34.78,12.01,8.47,1.024677865,24,1,500,1,5,1,0.5,0.7,177.8,0,5,7.2,88.89656,89.90464,79.12602,73.74963,64.3668,-0.6,-0.49,0.49,89.90464,0,0,0
none,0,0,0,0,0,0,1,0,1,0,0,0,0,4.09,0,29,28,43,0,0.96,368,1,1000,2,2,0,0.5,1,127,1,1,7.3,38.60232,52.69065,73.70526,70.96422,54.78327,-0.7,-0.59,0.59,73.70526,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,0.44,4.42,4,50,21,22,7,0.91,274,1,800,2,2,0,0.5,1,127,1,1,7.3,38.10127,73.38105,86.05465,90.21042,92.15567,-0.9,-0.79,0.79,92.15567,1,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,0.75,3.96,4,49,18,27,6,0.94,263,1,900,2,2,0,0.5,1,127,1,1,7.3,50.62751,86.52623,92.30304,94.86723,94.54302,-0.8,-0.69,0.69,94.86723,1,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,1,0,0,0,1.03,2.91,4,41,24,35,0,0.87,91,1,100,2,2,0,0.5,1,127,1,1,7.3,70.96422,92.15567,95.98722,98.07984,96.78301,-0.8,-0.69,0.69,98.07984,1,1,1
Ag,107.868,47,7.54,1.93,10,1,1,0,0,0,0,0,0.088,10.24527815,2,53.84,26.37,19.78,0,1.02,945.7,1,1000,1,4.627639628,0,0.1,0.797946442,25,1,0.710558979,6.8,72.76348,66.87029,60.9771,55.08391,49.19072,-0.37,-0.26,0.26,94.14,1,0,0
Ag,107.868,47,7.54,1.93,10,1,1,0,0,0,0,0,0.096,9.496574089,3,51.16,30.23,18.6,0,1.04,1226,1,1000,1,4.458093109,0,0.1,0.858399521,25,1,0.743583123,6.8,84.6758,69.06,53.4442,37.8284,22.2126,-0.41,-0.3,0.3,85.1,0,0,0
none,0,0,0,0,0,0,0,0,1,0,0,0,0,2.74,0,25.19962667,13.87534999,47.81706938,13.10795396,1.02,1044,0,1000,4,3.975335503,0,0.5,1,177.8,1,1,7.3,0.01,0.01,23.83068,56.63338,23.83068,-0.8,-0.69,0.69,56.63338,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.46,3.05,4.13,29.47316941,10.28352081,54.66582749,5.383555279,1.03,614,0,1000,4,3.69362502,0,0.5,0.217391304,177.8,1,1,7.3,92.62949,94,92.62949,91.22439,94.16233,-0.9,-0.79,0.79,94.16233,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1.23,3.23,6,28.82242686,13.22961927,48.81006802,9.046181589,1.02,612,0,1000,4,3.524884611,0,0.5,0.081300813,177.8,1,1,7.3,58.60051,69.15154,79.70257,90.2536,79.70257,-0.8,-0.69,0.69,90.2536,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,3.49,2.16,10.36,31.58754345,23.41411902,30.19736157,12.26197513,1,352,0,1000,4,3.87016356,0,0.5,0.028653295,177.8,1,1,7.3,0.01,0.01,0.01,2.70309,7.02058,-0.9,-0.79,0.79,7.02058,0,0,1
Sn,118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,5.337353956,4.3,26.31,8.65,56.71,8.31,1.05079626,581.3,0,950,2,4.93563137,0,0.1,1,177.8,1,1,6.8,84.18591,92.89862,93.67807,92.40932,84.95267,-0.75,-0.64,0.64,95.2,1,1,1
Sn,118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,6.024113819,4.3,26.31,8.65,56.71,8.31,1.074370558,581.3,0,950,2,4.530246928,1,1,1,177.8,1,0.5,8.8,91.38459,93.21487,91.2557,91.66816,91.2557,-0.55,-0.44,0.44,93.5,1,0,0
Sn,118.71,50,7.37,1.96,10,1,1,0,0,0,0,0,1.8,6.01915629,4.3,26.31,8.65,56.71,8.31,1.086302326,581.3,0,950,2,4.586115784,1,1,1,177.8,1,0.5,13.8,93.36954,92.51885,91.66816,90.81747,89.96678,-0.3,-0.19,0.19,93.62732,1,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,13.86921215,4,38.6,3.1,58.2,0,0.99,438.8,0,850,2,1,0,0.5,1.5,177.8,1,1,7.2,46.08985,60.31424,46.08985,34.34739,24.90005,-0.6,-0.49,0.49,60.31424,0,0,0
Cd,112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,18.4,14.72554628,4,64,4.8,31.2,0,1.07,303,0,850,0.0833,1,0,0.5,1.5,177.8,1,1,7.2,90.19405,90.86031,91.52657,88.92399,84.73904,-0.73,-0.62,0.62,91.42247,1,0,1
Cd,112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,6.7,11.03143536,4,57.3,5.1,37.6,0,0.98,510.5,0,850,1,1,0,0.5,1.5,177.8,1,1,7.2,70.60183,71.26809,71.93435,69.33177,66.06293,-0.73,-0.62,0.62,72.05928,0,0,1
Cd,112.411,48,8.95,1.69,10,0,0,1,0,0,0,0,3.5,9.442286651,4,49.2,4.9,45.9,0,0.93,615.9,0,850,2,1,0,0.5,1.5,177.8,1,1,7.2,61.85716,62.08619,62.31522,60.17069,56.31887,-0.73,-0.62,0.62,62.77327,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,1,1,0,0,0,0.5,2.82,3,18.70089052,53.61445783,14.33996857,13.34468308,1.115415125,458,1,1000,2,5,0,0.5,1,177.8,1,1,7.2,36.39653,84.08442,92.90485,94.34439,90.07813,-0.8,-0.69,0.69,94.34439,1,0,1
